"Resultaten 1-476 van 476 voor 'Status voorkomen=2a,2b,2c,2d,2; Habitat=zoet water,zout water'"

"wetenschappelijke naam"	"populaire naam"	"status voorkomen"	"link"	
"Hemigrapsus takanoi Asakura & Watanabe, 2005"	"Penseelkrab"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143704"	
"Hemimysis anomala Sars, 1907"	"Kaspische aasgarnaal"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143828"	
"Hermetia illucens (Linnaeus, 1758)"	"Zwarte soldatenvlieg"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186218"	
"Heterosigma akashiwo (Hada) Hada ex Y.Hara & Chihara"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178873"	
"Hydaticus leander (Rossi, 1790)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=173170"	
"Hydrocotyle ranunculoides L.f."	"Grote waternavel"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119593"	
"Hydrocotyle sibthorpioides Lam."	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179035"	
"Hydrocotyle verticillata Thunb."	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179036"	
"Hydroides elegans (Haswell, 1883)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138017"	
"Hyla orientalis Bedriaga, 1890"	"Oostelijke boomkikker"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182547"	
"Hymeniacidon perlevis (Montagu, 1812)"	"Piekjesspons"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136567"	
"Hypania invalida (Grube, 1860)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138087"	
"Hypophthalmichthys molitrix (Valenciennes, 1844)"	"Zilverkarper"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138745"	
"Hypophthalmichthys nobilis (Richardson, 1844)"	"Grootkopkarper"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138744"	
"Ianiropsis serricaudis Gurjanova, 1936"	"Japanse zeepissebed"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174798"	
"Idotea metallica Bosc, 1802"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143521"	
"Idotea neglecta Sars, 1897"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143522"	
"Incisocalliope aestuarius (Watling & Maurer, 1973)"	"Estuariene poliepvlo"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143442"	
"Ipheion uniflorum (Graham) Raf."	"Voorjaarsster"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172552"	
"Ischadium recurvum (Rafinesque, 1820)"	"Gebogen traliemossel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183527"	
"Jaera istri Veuille, 1979"	"Donaupissebed"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143533"	
"Janira maculosa Leach, 1814"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143531"	
"Jassa marmorata (Holmes, 1903)"	"Gemarmerde slijkgarnaal"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143406"	
"Jassa slatteryi Conlan, 1990"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186381"	
"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178855"	
"Lagarosiphon major (Ridl.) Moss"	"Verspreidbladige waterpest"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119538"	
"Landoltia punctata (G.Mey.) Les & D.J.Crawford"	"Smal kroos"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172525"	
"Laonome calida Capa, 2007"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174354"	
"Lemna aequinoctialis Welw."	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172556"	
"Lemna minuta Kunth"	"Dwergkroos"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119514"	
"Lemna turionifera Landolt"	"Knopkroos"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119516"	
"Lepas pectinata (Leach, 1818)"	"Ruwe eendemossel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144185"	
"Lepomis gibbosus (Linnaeus, 1758)"	"Zonnebaars"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138543"	
"Leptochiton cancellatus (Sowerby, 1839)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137986"	
"Leuciscus aspius Linnaeus, 1758"	"Roofblei"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138758"	
"Leucosolenia somesii (Bowerbank, 1874)"	"Grote witte buisjesspons"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172710"	
"Lilium bulbiferum subsp. bulbiferum"	"Roggelelie subsp. bulbiferum"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120996"	
"Lilium bulbiferum subsp. croceum (Chaix) Arcang."	"Roggelelie"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120995"	
"Lilium martagon L."	"Turkse lelie"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120997"	
"Limnadia lenticularis (Linnaeus, 1761)"	"Reuzenschelpkreeft"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144023"	
"Limnanthes alba Benth."	"Donzige moerasbloem"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119247"	
"Limnanthes douglasii R.Br."	"Geelwitte moerasbloem"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119248"	
"Limnodrilus maumeensis Brinkhurst & Cook, 1966"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138169"	
"Limnodrilus tortilipenis Wetzel, 1987"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172053"	
"Limnoria quadripunctata Holthuis, 1949"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143549"	
"Limulus polyphemus (Linnaeus, 1758)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144400"	
"Lithobates catesbeianus (Shaw, 1802)"	"Amerikaanse stierkikker"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139989"	
"Littorina compressa Jeffreys, 1865"	"Gestreepte alikruik"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137470"	
"Lomentaria hakodatensis Yendo"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116684"	
"Lophopus crystallinus (Pallas, 1768)"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140338"	
"Ludwigia grandiflora (Michx.) Greuter & Burdet"	"Grote waterteunisbloem"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=121079"	
"Lysichiton americanus Hultén & H.St.John"	"Moeraslantaarn"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119511"	
"Magallana gigas (Thunberg, 1793)"	"Japanse oester"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137373"	
"Marenzelleria neglecta Sikorski & Bick, 2004"	"Oostzeegroenworm"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171461"	
"Marenzelleria viridis (Verrill, 1873)"	"Gewone groenworm"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174748"	
"Marionina southerni (Cernosvitov, 1937)"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=175171"	
"Marteilia refringens Grizel, Comps, Bonami, Cousserans, Duthoit & Le Pennec"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137095"	
"Mauremys sinensis (Gray, 1834)"	"Chinese streepnekschildpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186761"	
"Mediopyxis helysia Kühn, Hargreaves & Halliger, 2006"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182646"	
"Megabalanus coccopoma (Darwin, 1854)"	"Grote rose zeepok"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144193"	
"Megabalanus tintinnabulum (Linnaeus, 1758)"	"Zeetulp"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144194"	
"Melanoides tuberculata (Müller, 1774)"	"Slanke knobbelhoren"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137973"	
"Melanothamnus harveyi (Bailey) Díaz-Tapia & Maggs"	"Violet buiswier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178828"	
"Melita nitida Smith, 1873"	"Elegante honingvlokreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143397"	
"Menetus dilatatus (Gould, 1841)"	"Hoekige schijfhoren"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137873"	
"Mercenaria mercenaria (Linnaeus, 1758)"	"Amerikaanse venusschelp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137218"	
"Micropogonias undulatus (Linnaeus, 1766)"	"Knorrepos"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138620"	
"Micropterus salmoides (La Cepède, 1802)"	"Forelbaars"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138541"	
"Mimulus guttatus DC."	"Gele maskerbloem"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120808"	
"Misgurnus anguillicaudatus (Cantor, 1842)"	"Aziatische modderkruiper"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172309"	
"Mnemiopsis leidyi Agassiz, 1865"	"Amerikaanse langlob-ribkwal"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136523"	
"Moerisia inkermanica Paltschikowa-Ostroumova, 1925"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140615"	
"Molgula manhattensis (De Kay, 1843)"	"Ronde zakpijp"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138831"	
"Monocorophium acherusicum (Costa, 1851)"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143297"	
"Monocorophium sextonae (Crawford, 1937)"	"Sexton's slijkgarnaal"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143302"	
"Monocorophium uenoi (Stephensen, 1932)"	"Japans slijkkreeftje"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174352"	
"Monopylephorus parvus Ditlevsen, 1904"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=175180"	
"Mulinia lateralis (Say, 1822)"	"Amerikaanse strandschelp"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186045"	
"Murchisonella sp."	"Vreemde speldhoren"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=180901"	
"Musculium transversum (Say, 1829)"	"Amerikaanse hoornschaal"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137184"	
"Mya arenaria Linnaeus, 1758"	"Strandgaper"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137301"	
"Mycale micracanthoxea Buizer & Van Soest, 1977"	"Grijze korstspons"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136537"	
"Mycteria ibis (Linnaeus, 1766)"	"Afrikaanse nimmerzat"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177344"	
"Myicola ostreae Hoshina & Sugiura, 1953"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144229"	
"Myriactula rivulariae (Suhr ex Aresch.) Feldmann"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178862"	
"Myriactula sp."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=117184"	
"Myriophyllum aquaticum (Vell.) Verdc."	"Parelvederkruid"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119014"	
"Myriophyllum heterophyllum Michx."	"Ongelijkbladig vederkruid"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119015"	
"Mytilicola intestinalis Steuer, 1902"	"Rood darmroeipootkreeftje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144243"	
"Mytilicola orientalis Mori, 1935"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144242"	
"Mytilopsis leucophaeata (Conrad, 1831)"	"Brakwatermossel"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137151"	
"Nemopsis bachei (Agassiz, 1849)"	"Bache's knotsklokje"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140472"	
"Neodexiospira brasiliensis (Grube, 1872)"	"Braziliaanse kalkkokerworm"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138019"	
"Neogobius fluviatilis (Pallas, 1814)"	"Pontische stroomgrondel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172298"	
"Neogobius kessleri (Gunther, 1861)"	"Kesslers grondel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138563"	
"Neogobius melanostomus (Pallas, 1814)"	"Zwartbekgrondel"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138562"	
"Neomysis americana (Smith, 1873)"	"Amerikaanse aasgarnaal"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172398"	
"Netta peposaca (Vieillot, 1816)"	"Peposaka-eend"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177345"	
"Nuphar advena (Aiton) W.T.Aiton"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119194"	
"Nymphaea marliacea Latour-Marl."	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119191"	
"Obesogammarus obesus (Sars, 1894)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174733"	
"Ocinebrellus inornata (Récluz, 1851)"	"Japanse stekelhoren"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137465"	
"Oncorhynchus kisutch (Walbaum, 1792)"	"Cohozalm"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138495"	
"Oncorhynchus mykiss (Walbaum, 1792)"	"Regenboogforel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138494"	
"Oncorhynchus tschawytscha (Walbaum, 1792)"	"Chinook"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138493"	
"Orthohalarachne attenuata (Banks, 1910)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183139"	
"Orthohalarachne diminuata (Doetschman, 1944)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183140"	
"Oxyura jamaicensis (Gmelin, 1789)"	"Rosse stekelstaart"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139935"	
"Pachycordyle navis (Millard, 1959)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140470"	
"Pacifastacus leniusculus (Dana, 1852)"	"Californische rivierkreeft"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143791"	
"Pacificincola perforata (Okada & Mawatari, 1937)"	"Pacifisch mosdiertje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=173010"	
"Palaemon macrodactylus Rathbun, 1902"	"Rugstreepsteurgarnaal"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143709"	
"Palinurus elephas (Fabricius, 1787)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143865"	
"Paranais frici Hrabe, 1941"	"Gerimpeld slikwormpje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=175207"	
"Pecten maximus (Linnaeus, 1758)"	"Grote mantel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137353"	
"Pectinatella magnifica (Leidy, 1851)"	"Waterzakmosdiertje"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=173024"	
"Pelecanus erythrorhynchos Gmelin, 1789"	"Witte pelikaan"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177348"	
"Pelecanus rufescens Gmelin, 1789"	"Kleine pelikaan"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139434"	
"Pelodiscus sinensis (Wiegmann, 1835)"	"Chinese weekschildpad"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186758"	
"Penilia avirostris Dana, 1852"	"Snavelwatervlo"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171721"	
"Perophora japonica Oka, 1927"	"Japanse zakpijp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138843"	
"Petricolaria pholadiformis (Lamarck, 1818)"	"Amerikaanse boormossel"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137159"	
"Phoeniconaias minor (Geoffroy Saint-Hilaire, 1798)"	"Kleine flamingo"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174549"	
"Phoenicopterus chilensis Molina, 1782"	"Chileense flamingo"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139386"	
