top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"scientific_name"	"common_name"	"rank"	"nsr_id"	"presence_status"	
"Iphimedia obesa Rathke, 1843"	""	"soort"	"0AHCYSI04140"	"1a"	
"Iphinoe trispinosa (Goodsir, 1843)"	""	"soort"	"0AHCYSI11654"	"1a"	
"Iphiseius degenerans (Berlese, 1889)"	""	"soort"	"0AHCYSI10566"	"3c"	
"Iphitrachelus gracilis Masner, 1957"	""	"soort"	"0AHCYSI07835"	"1a"	
"Iphitrachelus lar Haliday, 1835"	""	"soort"	"09WRR114Q2RA"	"1a"	
"Ipimorpha retusa (Linnaeus, 1761)"	"Heremietuil"	"soort"	"0AHCYFCLXOTZ"	"1a"	
"Ipimorpha subtusa (Denis & Schiffermüller, 1775)"	"Tweekleurige heremietuil"	"soort"	"0AHCYFCLXPZE"	"1a"	
"Ips acuminatus (Gyllenhal, 1827)"	""	"soort"	"050A87F649CC"	"2d"	
"Ips cembrae (Heer, 1836)"	"Achttandige lariksschorskever"	"soort"	"0AHCYFBWLFZB"	"1a"	
"Ips sexdentatus (Boerner, 1776)"	"Zestand-dennenschorskever"	"soort"	"0AHCYFBWLGZT"	"1a"	
"Ips typographus (Linnaeus, 1758)"	"Letterzetter"	"soort"	"0AHCYFBWLIAM"	"1a"	
"Irania gutturalis (Guérin Ménéville, 1843)"	"Perzische roodborst"	"soort"	"000464941611"	"1b"	
"Iridothrips iridis (Watson, 1924)"	""	"soort"	"0AHCYFAQWPTG"	"1a"	
"Iridothrips mariae Pelik·n, 1961"	""	"soort"	"0AHCYFAQWQPM"	"1a"	
"Ironoquia dubia (Stephens, 1837)"	""	"soort"	"0AHCYFBZOPUE"	"1a"	
"Ironus macramphis Schuurmans Stekhoven & Teunissen, 1938"	""	"soort"	"0AHCYSI02202"	"1a"	
"Isadelphus inimicus (Gravenhorst, 1829)"	""	"soort"	"0AHCYFAUXOEZ"	"1a"	
"Ischadium recurvum (Rafinesque, 1820)"	"Gebogen traliemossel"	"soort"	"0X5HLOUOCH94"	"2c"	
"Ischiolepta denticulata (Meigen, 1830)"	""	"soort"	"0U5DYGLGJPT3"	"1a"	
"Ischiolepta micropyga (Duda, 1938)"	""	"soort"	"0AHCYFBLSDFV"	"1a"	
"Ischiolepta nitida (Duda, 1920)"	""	"soort"	"0AHCYFBLSEGO"	"1a"	
"Ischiolepta pusilla (Fallén, 1820)"	""	"soort"	"0AHCYFBLSFHG"	"3a"	
"Ischiolepta scabricula (Haliday, 1836)"	""	"soort"	"02CCNKZTGJVS"	"1a"	
"Ischiolepta vaporariorum (Haliday, 1836)"	""	"soort"	"0AHCYFBLSGHZ"	"1a"	
"Ischnaspis longirostris (Signoret, 1882)"	""	"soort"	"0H8JV3CEEWGC"	"2d"	
"Ischnoceros caligatus (Gravenhorst, 1829)"	""	"soort"	"0AHCYFAUXQGJ"	"1a"	
"Ischnoceros rusticus (Geoffroy, 1785)"	""	"soort"	"0AHCYFAUXRLO"	"1a"	
"Ischnocoris angustulus (Boheman, 1852)"	""	"soort"	"0AHCYSICCLKN"	"1a"	
"Ischnodemus sabuleti (Fallén, 1826)"	""	"soort"	"0AHCYSICCNDB"	"1a"	
"Ischnoglossa prolixa (Gravenhorst, 1802)"	""	"soort"	"0AHCYFBXMFBI"	"1a"	
"Ischnomera cyanea (Fabricius, 1793)"	""	"soort"	"0AHCYFBVSQCM"	"1a"	
"Ischnopoda leucopus (Marsham, 1802)"	""	"soort"	"0AHCYFBXMHHQ"	"1a"	
"Ischnopoda scitula (Erichson, 1837)"	""	"soort"	"0AHCYFBYNKEH"	"1a"	
"Ischnopoda umbratica (Erichson, 1837)"	""	"soort"	"0AHCYFBXMIMU"	"1a"	
"Ischnopsyllus elongatus (Curtis, 1832)"	""	"soort"	"0AHCYFAQLONT"	"1a"	
"Ischnopsyllus hexactenus (Kolenati, 1856)"	""	"soort"	"0AHCYFAQLPKL"	"1a"	
"Ischnopsyllus intermedius (Rothschild, 1898)"	""	"soort"	"0AHCYFAQLQGS"	"1a"	
"Ischnopsyllus mysticus Jordan, 1942"	""	"soort"	"0AHCYFAQLRCY"	"1a"	
"Ischnopsyllus octactenus (Kolenati, 1856)"	""	"soort"	"0AHCYFAQLRZF"	"1a"	
"Ischnopsyllus simplex Rothschild, 1906"	""	"soort"	"0AHCYFAQLSZX"	"1a"	
"Ischnopsyllus variabilis (Wagner, 1898)"	""	"soort"	"0AHCYFAQLVOS"	"1a"	
"Ischnopterapion loti (Kirby, 1808)"	"Rolklaversnuitkever"	"soort"	"0AHCYFBQLBYP"	"1a"	
"Ischnopterapion virens (Herbst, 1797)"	""	"soort"	"0AHCYFBQLCUW"	"1a"	
"Ischnosoma longicorne (Mäklin, 1847)"	""	"soort"	"0AHCYFBXMKSR"	"1a"	
"Ischnosoma splendidum (Gravenhorst, 1806)"	""	"soort"	"0AHCYFBXMLTJ"	"1a"	
"Ischnothyreus velox Jackson, 1908"	""	"soort"	"0AHCYFOOPYGB"	"2d"	
"Ischnura elegans (Vander Linden, 1820)"	"Lantaarntje"	"soort"	"0AHCYFBZWTSI"	"1a"	
"Ischnura pumilio (Charpentier, 1825)"	"Tengere grasjuffer"	"soort"	"0AHCYFBZWVYF"	"1a"	
"Ischnus alternator (Gravenhorst, 1829)"	""	"soort"	"0AHCYFAUXTMZ"	"1a"	
"Ischnus inquisitorius (Müller, 1776)"	""	"soort"	"0AHCYFAUXUSD"	"1a"	
"Ischnus migrator (Fabricius, 1775)"	""	"soort"	"0AHCYFAUXVXH"	"1a"	
"Ischyropsalis hellwigi (Panzer, 1794)"	""	"soort"	"0AHCXIYH0058"	"1a"	
"Iseropus stercorator (Fabricius, 1793)"	""	"soort"	"0AHCYFAUXYDP"	"1a"	
"Isias clavipes Boeck, 1865"	""	"soort"	"0V4J5OPR1Y13"	"1a"	
"Ismarus dorsiger Haliday, 1831"	""	"soort"	"0XRBZSMW15VI"	"1a"	
"Ismarus flavicornis (Thomson, 1859)"	""	"soort"	"0CO3HNLUVMK2"	"1a"	
"Ismarus halidayi Foerster, 1850"	""	"soort"	"0QS5HRALHJ8J"	"1a"	
"Ismarus rugulosus Foerster, 1850"	""	"soort"	"0KLKLGQFGXDQ"	"1a"	
"Isobactrus rugosus Bartsch, 1975"	""	"soort"	"000000020604"	"1a"	
"Isobactrus uniscutatus (Viets, 1939)"	""	"soort"	"000000020606"	"1a"	
"Isobrachium nigricorne (Nees, 1834)"	""	"soort"	"0AHCYFCQGDLH"	"3b"	
"Isochaetides michaelseni (Lastockin, 1936)"	"Rivierslingerworm"	"soort"	"0BDLNMWPHVP5"	"1a"	
"Isochnus angustifrons (West, 1917)"	""	"soort"	"0AHCYFBTHXVZ"	"1a"	
"Isochnus foliorum (Müller, 1764)"	""	"soort"	"0AHCYFBTHYWS"	"1a"	
"Isochnus sequensi (Stierlin, 1894)"	""	"soort"	"0AHCYFBTHZXK"	"1a"	
"Isocolus jaceae (Schenck, 1863)"	"Knoopkruidgalwesp"	"soort"	"0BYSUWS1WVZE"	"1a"	
"Isocyamus delphinii (Guérin Méneville, 1836)"	""	"soort"	"0E1BBFEA4F17"	"1b"	
"Isocybus erato (Walker, 1835)"	""	"soort"	"0AHCYSI07832"	"1a"	
"Isocybus pallidicornis Thomson, 1859"	""	"soort"	"08OFLPO899E1"	"1a"	
"Isocybus strigosus Thomson, 1859"	""	"soort"	"0G9AWC84IEG1"	"1a"	
"Isocybus trochanteratus Thomson, 1859"	""	"soort"	"0JELKKTXQ2U1"	"1a"	
"Isocypris beauchampi (Paris, 1920)"	""	"soort"	"0AHCYSI04281"	"3c"	
"Isocypris priomena Müller, 1908"	""	"soort"	"0AHCYSI04285"	"1a"	
"Isocyrtus laetus Walker, 1833"	""	"soort"	"0AHCYFBAXIGU"	"1a"	
"Isodontia mexicana (Saussure, 1867)"	""	"soort"	"066845E94C62"	"2c"	
"Isodromus vinulus (Dalman, 1820)"	""	"soort"	"0AHCYFAZQJZP"	"1a"	
"Isogenus nubecula Newman, 1833"	""	"soort"	"000457374635"	"1a"	
"Isolaimium multistriatum Hogewind & Heyns, 1967"	""	"soort"	"0AHCYSI02208"	"1a"	
"Isometopus intrusus (Herrich-Schaeffer, 1835)"	""	"soort"	"0AHCYSICMFWL"	"1a"	
"Isomira murina (Linnaeus, 1758)"	"Tweekleurige bloemenkever"	"soort"	"0AHCYFBQFLNE"	"1a"	
"Isoneuromyia semirufa (Meigen, 1818)"	""	"soort"	"0AHCYFBHOVKF"	"1a"	
"Isoneuromyia vitripennis (Meigen, 1830)"	""	"soort"	"0AHCYFBHOWKY"	"3b"	
"Isoneurothrips australis Bagnall, 1915"	""	"soort"	"0AHCYFAQWSIA"	"2d"	
"Isonychia ignota (Walker, 1853)"	""	"soort"	"000457169112"	"1a"	
"Isoperla grammatica (Poda, 1761)"	""	"soort"	"000457374644"	"1a"	
"Isoperla obscura (Zetterstedt, 1840)"	""	"soort"	"0AHCYFCCEDAT"	"1a"	
"Isophrictis anthemidella (Wocke, 1871)"	"Scherpe streepbandmot"	"soort"	"0AHCYSI00279"	"1a"	
"Isophrictis striatella (Denis & Schiffermüller, 1775)"	"Streepbandmot"	"soort"	"0AHCYFCIYXJT"	"1a"	
"Isophya kraussii Brunner von Wattenwyl, 1878"	"Duits propje"	"soort"	"0JYU8UIHGHBW"	"3c"	
"Isoptena serricornis (Pictet, 1841)"	""	"soort"	"000457374703"	"1a"	
"Isostasius punctiger (Nees, 1834)"	""	"soort"	"0CYOB6GCTUBE"	"1a"	
"Isotoma anglicana Lubbock, 1862"	""	"soort"	"0AHCYSI01577"	"1a"	
"Isotoma caerulea (Bourlet, 1839)"	""	"soort"	"000OFYOYOU50"	"1a"	
"Isotoma riparia (Nicolet, 1842)"	""	"soort"	"0AHCYSI08012"	"1a"	
"Isotoma viridis Bourlet, 1839"	""	"soort"	"0AHCYSI01574"	"1a"	
"Isotomiella hygrophila Sterzyńska & Kapruś, 2001"	""	"soort"	"0108AAF34046"	"1a"	
"Isotomiella minor (Schäffer, 1896)"	""	"soort"	"0AHCYSI01576"	"1a"	
"Isotomodes armatus Naglitsch, 1962"	""	"soort"	"0263A8F34128"	"1a"	
"Isotomodes bisetosus Cassagnau, 1959"	""	"soort"	"0AHCYSI08013"	"1a"	
"Isotomodes gisini da Gama, 1963"	""	"soort"	"0AHCYSI08014"	"1a"	
"Isotomodes productus (Axelson, 1906)"	""	"soort"	"0AHCYSI08015"	"1a"	
"Isotomurus antennalis Bagnall, 1940"	""	"soort"	"0AHCYSI08016"	"3c"	
"Isotomurus balteatus (Reuter, 1876)"	""	"soort"	"0AHCYSI08017"	"1a"	
"Isotomurus ciliatus Stach, 1947"	""	"soort"	"01BE575E44FA"	"3c"	
"Isotomurus fucicola Schött, 1893"	""	"soort"	"0AHCYSI08019"	"1a"	
"Isotomurus gallicus Carapelli, Frati, Fanciulli & Dallai, 2001"	""	"soort"	"06OY1BKR44YA"	"1a"	
"Isotomurus italicus Carapelli, Fanciulli, Frati & Dallai, 1995"	""	"soort"	"035AD1334F9C"	"3c"	
"Isotomurus maculatus (Schäffer, 1896)"	""	"soort"	"0AHCYSI01653"	"1a"	
"Isotomurus palustris (Müller, 1776)"	""	"soort"	"0AHCYSI01652"	"1a"	
"Isotomurus plumosus Bagnall, 1940"	""	"soort"	"0AHCYSI08020"	"1a"	
"Isotomurus prasinus (Reuter, 1891)"	""	"soort"	"0AHCYSI08194"	"1a"	
"Isotomurus stuxbergi (Tullberg, 1876)"	""	"soort"	"0AHCYSI08022"	"3c"	
"Isotomurus unifasciatus (Börner, 1901)"	""	"soort"	"0AHCYSI08023"	"1a"	
"Isotrias rectifasciana (Haworth, 1811)"	"V-bandbladroller"	"soort"	"0AHCYFCNJXMJ"	"1a"	
"Issoria lathonia (Linnaeus, 1758)"	"Kleine parelmoervlinder"	"soort"	"000464896293"	"1a"	
"Issus coleoptratus (Fabricius, 1781)"	""	"soort"	"0AHCYFAPXONS"	"1a"	
"Issus muscaeformis (Schrank, 1781)"	""	"soort"	"0AHCYFAPXPJZ"	"1a"	
"Isthmiophora melis (Schrank, 1788)"	""	"soort"	"038D06B5474B"	"1a"	
"Istocheta longicornis (Fallen, 1810)"	""	"soort"	"0BA85FB5482A"	"1a"	
"Isturgia limbaria (Fabricius, 1775)"	"Oranje bremspanner"	"soort"	"0AHCYFCKKYJI"	"1a"	
"Iteomyia capreae (Winnertz, 1853)"	"Kleine wilgwratgalmug"	"soort"	"0AHCYFBDKRUJ"	"1a"	
"Iteomyia major (Kieffer, 1898)"	"Grote wilgwratgalmug"	"soort"	"0AHCYFBDKSVC"	"1a"	
"Ithytrichia lamellaris Eaton, 1873"	""	"soort"	"000457132196"	"1a"	
"Itoplectis alternans (Gravenhorst, 1829)"	""	"soort"	"0AHCYFAUYAFA"	"1a"	
"Itoplectis aterrima Jussila, 1965"	""	"soort"	"0AHCYFAUYBKE"	"3c"	
"Itoplectis clavicornis (Thomson, 1889)"	""	"soort"	"0AHCYFAUYCPI"	"3c"	
"Itoplectis enslini (Ulbricht, 1911)"	""	"soort"	"0AHCYFAUYDUN"	"3c"	
"Itoplectis insignis Perkins, 1957"	""	"soort"	"0AHCYFAUYEZR"	"3c"	
"Itoplectis maculator (Fabricius, 1775)"	""	"soort"	"0AHCYFAUYGEV"	"1a"	
"Itoplectis melanocephala (Gravenhorst, 1829)"	""	"soort"	"0AHCYFAUYHJZ"	"1a"	
"Itoplectis viduata (Gravenhorst, 1829)"	""	"soort"	"0AHCYFAUYIPD"	"1a"	
"Itunella muelleri Gagern, 1923"	""	"soort"	"0AHCYSI04256"	"3c"	
"Ityogonimus talpae (Goeze, 1782)"	""	"soort"	"0BE89D6F42CE"	"1a"	
"Ixobrychus minutus (Linnaeus, 1766)"	"Woudaap"	"soort"	"000464941618"	"1a"	
"Ixodes apronophorus Schulze, 1924"	""	"soort"	"0AHCYSI10246"	"1a"	
"Ixodes arboricola (Schulze & Schlottke, 1930)"	""	"soort"	"0AHCYSI10252"	"1a"	
"Ixodes canisuga (Johnston, 1849)"	""	"soort"	"0AHCYSI10253"	"1a"	
"Ixodes frontalis (Panzer, 1798)"	""	"soort"	"0AHCYSI10250"	"1a"	
"Ixodes hexagonus (Leach, 1815)"	""	"soort"	"0AHCYSI10254"	"1a"	
"Ixodes lividus (Koch, 1844)"	""	"soort"	"0AHCYSI10255"	"1a"	
"Ixodes ricinus (Linnaeus, 1758)"	"Schapenteek"	"soort"	"0AHCYSI10248"	"1a"	
"Ixodes trianguliceps Birula, 1895"	""	"soort"	"0AHCYSI10245"	"1a"	
"Ixodes vespertilionis (Koch, 1844)"	""	"soort"	"0AHCYSI10256"	"1a"	
"Ixodiphagus hookeri (Howard, 1908)"	""	"soort"	"0215873445CA"	"0"	
"Iziphya bufo (Walker, 1848)"	""	"soort"	"0AHCYSI00944"	"1a"	
"Jaapiella bryoniae (Bouché, 1847)"	"Heggenrankknopgalmug"	"soort"	"0AHCYFBDKVOH"	"1a"	
"Jaapiella cirsiicola Rübsaamen, 1916"	"Distelhoofdjesgalmug"	"soort"	"0AHCYFBDKWPA"	"1a"	
"Jaapiella clethrophila Rübsaamen, 1917"	"Gele elzenbladgalmug"	"soort"	"0AHCYFBDKXPS"	"1a"	
"Jaapiella compositarum (Kieffer, 1888)"	""	"soort"	"0AHCYFBDKYQL"	"1a"	
"Jaapiella genisticola (Löw, 1877)"	"Bremtopgalmug"	"soort"	"0AHCYFBDLARW"	"1a"	
"Jaapiella hedickei Rübsaamen, 1921"	"Bevernelbladgalmug"	"soort"	"0AHCYFBDLBSO"	"1a"	
"Jaapiella jaapiana (Rübsaamen, 1914)"	"Jaap's hopklavergalmug"	"soort"	"0AHCYFBDLCTS"	"1a"	
"Jaapiella loticola (Rübsaamen, 1889)"	"Gewone rolklavertopgalmug"	"soort"	"0AHCYFBDLDUL"	"1a"	
"Jaapiella medicaginis (Rübsaamen, 1912)"	"Luzernebladgalmug"	"soort"	"0AHCYFBDJIQM"	"1a"	
"Jaapiella parvula (Liebel, 1889)"	"Heggenrankbloemgalmug"	"soort"	"0AHCYFBDLEVD"	"1a"	
"Jaapiella picridis (Rübsaamen, 1912)"	""	"soort"	"0AHCYFBDLFVV"	"1a"	
"Jaapiella schmidti (Rübsaamen, 1912)"	"Weegbreegalmug"	"soort"	"0AHCYFBDLGWO"	"1a"	
"Jaapiella thalictri (Rübsaamen, 1895)"	"Gewone ruitgalmug"	"soort"	"0AHCYFBDLHXG"	"1a"	
"Jaapiella vacciniorum (Kieffer, 1913)"	"Bosbestopgalmug"	"soort"	"0AHCYFBDLIXZ"	"1a"	
"Jaapiella veronicae (Vallot, 1827)"	"Gewone ereprijsgalmug"	"soort"	"0AHCYFBDLJYR"	"1a"	
"Jacksonella falconeri (Jackson, 1908)"	""	"soort"	"0AHCYFOOJASO"	"1a"	
"Jacksonia papillata Theobald, 1923"	""	"soort"	"0AHCYSI00937"	"1a"	
"Jaera albifrons Leach, 1815"	"Witkoppissebed"	"soort"	"0AHCYFAOVCEG"	"1a"	
"Jaera ischiosetosa Forsman, 1949"	""	"soort"	"0AHCYFAOVFKV"	"1a"	
"Jaera istri Veuille, 1979"	"Donaupissebed"	"soort"	"0AHCYFAOVGPZ"	"2b"	
"Jaera nordmanni (Rathke, 1837)"	""	"soort"	"00X3NPP7SHPX"	"4"	
"Jaera praehirsuta Forsman, 1949"	""	"soort"	"0AHCYFAOVHZP"	"3c"	
"Jaera syei (Bocquet, 1950)"	""	"soort"	"0AHCYFAOVEKC"	"1a"	
"Jalla dumosa (Linnaeus, 1758)"	"Rupsenschildwants"	"soort"	"0AHCYSICWWYW"	"1a"	
"Janetia cerris (Kollar, 1850)"	"Moseikkegelgalmug"	"soort"	"0AHCYFBDLLRF"	"3b"	
"Janetiella glechomae Tavares, 1930"	""	"soort"	"07JTDNS7F3Y9"	"1a"	
"Janetiella lemeei (Kieffer, 1904)"	"Iepennerfgalmug"	"soort"	"0AHCYFBDLOPI"	"1a"	
"Janetiella thymi (Kieffer, 1888)"	"Tijmtopgalmug"	"soort"	"0AHCYFBDLQQT"	"1a"	
"Janira maculosa Leach, 1814"	""	"soort"	"0AHCYFAOVKOJ"	"2b"	
"Janolus cristatus (Chiaje, 1841)"	"Blauwtipje"	"soort"	"0AHCYSI11115"	"1a"	
"Janolus hyalinus (Alder & Hancock, 1854)"	"Wrattig tipje"	"soort"	"0AHCYSI11188"	"1b"	
"Janssoniella ambigua Graham, 1969"	""	"soort"	"0AHCYFBAXJZH"	"1a"	
"Janus compressus (Fabricius, 1793)"	"Perescheutwesp"	"soort"	"0AHCYFATDLNC"	"2a"	
"Janus cynosbati (Linnaeus, 1758)"	""	"soort"	"0AHCYFATDMJJ"	"1a"	
"Janus luteipes (Lepeletier, 1823)"	""	"soort"	"0AHCYFATDNKB"	"1a"	
"Japananus hyalinus (Osborn, 1900)"	""	"soort"	"0XI3NE8U9SFC"	"2b"	
"Jassa falcata (Montagu, 1808)"	""	"soort"	"02NR0RIEUH7X"	"1a"	
"Jassa herdmani (Walker, 1893)"	""	"soort"	"0AHCYSI04130"	"1a"	
"Jassa marmorata (Holmes, 1903)"	"Gemarmerde slijkgarnaal"	"soort"	"0AHCYSI04131"	"2"	
"Jassa slatteryi Conlan, 1990"	""	"soort"	"0P8J9CBQISZA"	"2c"	
"Jassargus allobrogicus (Ribaut, 1936)"	""	"soort"	"0AHCYFAPKWDB"	"1a"	
"Jassargus flori (Fieber, 1869)"	""	"soort"	"0AHCYFAPKYEM"	"1a"	
"Jassargus obtusivalvis (Kirschbaum, 1868)"	""	"soort"	"0AHCYFAPKZFF"	"1a"	
"Jassargus pseudocellaris (Flor, 1861)"	""	"soort"	"0AHCYFAPLAGJ"	"1a"	
"Jassargus sursumflexus (Then, 1902)"	""	"soort"	"0AHCYFAPLBHB"	"1a"	
"Jassidaeus lugubris (Signoret, 1865)"	""	"soort"	"000B45BE4F7F"	"3c"	
"Jassidophaga pilosa (Zetterstedt, 1838)"	""	"soort"	"0AHCYFBKGLIQ"	"1a"	
"Jassidophaga setosa (Verrall, 1901)"	""	"soort"	"0AHCYFBKGMJI"	"1a"	
"Jassidophaga villosa (von Roser, 1840)"	""	"soort"	"0AHCYFBKGNKB"	"1a"	
"Javesella discolor (Boheman, 1847)"	""	"soort"	"0AHCYFAPUZVJ"	"1a"	
"Javesella dubia (Kirschbaum, 1868)"	""	"soort"	"0AHCYFAPVAWC"	"1a"	
"Javesella forcipata (Boheman, 1847)"	""	"soort"	"0AHCYFAPVBWU"	"1a"	
"Javesella obscurella (Boheman, 1847)"	""	"soort"	"0AHCYFAPVDGW"	"1a"	
"Javesella pellucida (Fabricius, 1794)"	""	"soort"	"0AHCYFAPVEDC"	"1a"	
"Javesella salina (Haupt, 1924)"	""	"soort"	"04C8E9D94D22"	"3c"	
"Javesella stali (Metcalf, 1943)"	""	"soort"	"024F35EF4F5D"	"3c"	
"Jodia croceago (Denis & Schiffermüller, 1775)"	"Wintergouduil"	"soort"	"0AHCYFCLXRRR"	"1a"	
"Jodis lactearia (Linnaeus, 1758)"	"Melkwitte zomervlinder"	"soort"	"0AHCYFCKLATQ"	"1a"	
"Jodis putata (Linnaeus, 1758)"	"Spaansgroene zomervlinder"	"soort"	"0AHCYFCKLBYU"	"1a"	
"Johnstoniana errans (Johnston, 1852)"	""	"soort"	"0AHCYSI10015"	"1a"	
"Johnstoniana rapax Wendt & Eggers, 1996"	""	"soort"	"0AHCYSI10016"	"1a"	
"Jorunna tomentosa (Cuvier, 1804)"	"Satijnslak"	"soort"	"0AHCYSI11104"	"1b"	
"Joubertophyllodes modularis (Berlese, 1895)"	""	"soort"	"0ENNA8WSMZWP"	"1a"	
"Joyeuxiella pasqualei (Diamara, 1893)"	""	"soort"	"0555E77F49F6"	"2b"	
"Jujubinus exasperatus (Pennant, 1777)"	"Gekielde kegeltolhoren"	"soort"	"0AHCYSI11134"	"1b"	
"Jujubinus montagui (Wood, 1828)"	"Gezwollen kegeltolhoren"	"soort"	"0AHCYSI11135"	"1b"	
"Julus scandinavius Latzel, 1884"	"Grote knotspoot"	"soort"	"0AHCYFAOGHXP"	"1a"	
"Junco hyemalis (Linnaeus, 1758)"	"Grijze junco"	"soort"	"000464941625"	"1b"	
"Juncobia leegei (Börner, 1940)"	""	"soort"	"0AHCYSI00946"	"1a"	
"Jungiella consors (Eaton, 1893)"	""	"soort"	"0AHCYFBKLOXH"	"1a"	
"Jungiella longicornis (Tonnoir, 1919)"	""	"soort"	"0AHCYFBKLPYA"	"1a"	
"Jungiella soleata (Haliday in Walker, 1856)"	""	"soort"	"0AHCYFBKLQYS"	"1a"	
"Jynx torquilla Linnaeus, 1758"	"Draaihals"	"soort"	"000464942863"	"1a"	
"Kabatazus paradoxus (Van Beneden, 1851)"	""	"soort"	"0OLX5WLZCYD9"	"1a"	
"Kaestneria dorsalis (Wider, 1834)"	""	"soort"	"0AHCYFOOJBNM"	"1a"	
"Kaestneria pullata (Cambridge, 1863)"	""	"soort"	"0AHCYFOOJCBH"	"1a"	
"Kageronia fuscogrisea (Retzius, 1783)"	""	"soort"	"000457169174"	"1a"	
"Kageronia orbiticola Kluge, 1986"	""	"soort"	"0E17PMQNNWVD"	"4"	
"Kakothrips robustus (Uzel, 1895)"	"Erwtetrips"	"soort"	"0AHCYFAQWTWB"	"1a"	
"Kalama tricornis (Schrank, 1801)"	""	"soort"	"0AHCYSIDDOLQ"	"1a"	
"Kalaphorura burmeisteri (Lubbock, 1873)"	""	"soort"	"0AHCYSI08065"	"3c"	
"Kalcapion pallipes (Kirby, 1808)"	"Geelpootbingelkruidspitsmuisje"	"soort"	"0AHCYFBQLEIX"	"1a"	
"Kalcapion semivittatum (Gyllenhal, 1833)"	"Klein bingelkruidspitsmuisje"	"soort"	"0AHCYFBQLFJQ"	"1a"	
"Kaltenbachiella pallida (Haliday, 1838)"	"Iepenbladnerfluis"	"soort"	"0AHCYSI00965"	"1a"	
"Kaltenbachiola strobi (Winnertz, 1853)"	"Sparrenzaadgalmug"	"soort"	"0AHCYFBDLSJG"	"1a"	
"Kampimodromus aberrans (Oudemans, 1930)"	""	"soort"	"0AHCYSI10587"	"1a"	
"Kampimodromus elongatus (Oudemans, 1930)"	""	"soort"	"0Y8GJ51MMYC2"	"1a"	
"Kampimodromus hmiminai McMurtry & Bonfour, 1989"	""	"soort"	"0Q9FT1S58TTK"	"1a"	
"Karlstejnia norvegica Fjellberg, 1974"	""	"soort"	"0AHCYSI08114"	"3c"	
"Karnyothrips melaleucus (Bagnall, 1911)"	""	"soort"	"0AHCYFAQRKCS"	"2d"	
"Karnyothrips merrillii Watson"	""	"soort"	"0AHCYFAQRLDK"	"2d"	
"Karshomyia caulicola (Coquillett, 1895)"	""	"soort"	"0AHCYFBDLUBT"	"1a"	
"Katamysis warpachowskyi Sars, 1893"	""	"soort"	"0JNQJKO0IEKT"	"1b"	
"Kateretes pedicularius (Linnaeus, 1758)"	""	"soort"	"0AHCYFBUZIGB"	"1a"	
"Kateretes rufilabris (Latreille, 1807)"	""	"soort"	"0AHCYFBUZJGT"	"1a"	
"Kelerinirmus fulvus (Giebel, 1874)"	""	"soort"	"0113BD7B4B8D"	"1a"	
"Kelerinirmus fuscus (Denny, 1842)"	""	"soort"	"0B16B3A4491A"	"1a"	
"Kelerinirmus nisus (Giebel, 1866)"	""	"soort"	"0F196D63433E"	"1a"	
"Kelerinirmus rufus (Burmeister, 1838)"	""	"soort"	"0AHCYSI03470"	"1a"	
"Kelisia guttula (Germar, 1818)"	""	"soort"	"0AHCYFAPVFRE"	"1a"	
"Kelisia guttulifera (Kirschbaum, 1868)"	""	"soort"	"0AHCYFAPVGRW"	"1a"	
"Kelisia irregulata Haupt, 1935"	""	"soort"	"067A3C3C4B37"	"3c"	
"Kelisia monoceros Ribaut, 1934"	""	"soort"	"00H5SIT882NW"	"1b"	
"Kelisia pallidula (Boheman, 1847)"	""	"soort"	"0AHCYFAPVHSP"	"1a"	
"Kelisia punctulum (Kirschbaum, 1868)"	""	"soort"	"0AHCYFAPVITH"	"1a"	
"Kelisia ribauti Wagner, 1938"	""	"soort"	"0AHCYFAPVJUA"	"1a"	
"Kelisia sabulicola Wagner, 1952"	""	"soort"	"0AHCYFAPVKZE"	"1a"	
"Kelisia vittipennis (Sahlberg, 1868)"	""	"soort"	"0AHCYFAPVLVL"	"1a"	
"Kellia suborbicularis (Montagu, 1803)"	"Holteschelpje"	"soort"	"0AHCYSI11173"	"1a"	
"Kellicottia bostoniensis (Rousselet, 1908)"	""	"soort"	"0AHCYSI05015"	"1a"	
"Kellicottia longispina (Kellicott, 1879)"	""	"soort"	"0AHCYSI05014"	"1a"	
"Keratella cochlearis (Gosse, 1851)"	""	"soort"	"0AHCYSI05013"	"1a"	
"Keratella cruciformis (Thompson, 1892)"	""	"soort"	"0AHCYSI05012"	"1a"	
"Keratella paludosa (Lucks, 1912)"	""	"soort"	"0AHCYSI05011"	"1a"	
"Keratella quadrata (Müller, 1786)"	""	"soort"	"0AHCYSI04996"	"1a"	
"Keratella serrulata (Ehrenberg, 1838)"	""	"soort"	"0AHCYSI05010"	"1a"	
"Keratella testudo Ehrenberg, 1832"	""	"soort"	"0AHCYSI04752"	"1a"	
"Keratella tropica (Apstein, 1907)"	""	"soort"	"0AHCYSI05007"	"1a"	
"Keratella valga (Ehrenberg, 1834)"	""	"soort"	"0AHCYSI05006"	"1a"	
"Kermes quercus (Linnaeus, 1758)"	"Bolvormige eikeluis"	"soort"	"0AHCYFAQDPGF"	"1a"	
