Synonym,Taxon
"Meligethes persicus Faldermann, 1837","Meligethes tenebrosus Forster, 1849"
"Melinda cognata (Meigen, 1830)","Melinda gentilis Robineau-Desvoidy, 1830"
"Melinda coerulea (Meigen, 1826)","Melinda viridicyanea (Robineau-Desvoidy, 1830)"
"Meliscaeva maculicornis (Zetterstedt, 1843)","Meliscaeva auricollis (Meigen, 1822)"
"Eperigone eschatologica (Crosby, 1924)","Mermessus denticulatus (Banks, 1898)"
"Merodon spinipes (Fabricius, 1794)","Merodon avidus (Rossi, 1790)"
"Merodon batumicus Paromonov, 1927","Merodon caucasicus Portschinsky, 1877"
"Merodon bulborum Rondani, 1845","Merodon equestris (Fabricius, 1794)"
"Merodon flavicans (Fabricius, 1794)","Merodon equestris (Fabricius, 1794)"
"Merodon nobilis Meigen, 1822","Merodon equestris (Fabricius, 1794)"
"Merodon transversalis Meigen, 1822","Merodon equestris (Fabricius, 1794)"
"Merodon validus Wiedemann in Meigen, 1822","Merodon equestris (Fabricius, 1794)"
"Meroplius stercorarius (Robineau-Desvoidy, 1830)","Meroplius minutus (Wiedemann, 1830)"
"Mesachorutes marlieri Delamare, 1947","Mesachorutes quadriocellatus Absolon, 1900"
"Mesalges diaphanoxus Bonnet, 1924","Mesalgoides diaphanoxus (Bonnet, 1924)"
"Analges oscinum (Koch, 1840","Mesalgoides oscinum (Koch, 1840)"
"Dermaleichus oscinum Koch, 1840","Mesalgoides oscinum (Koch, 1840)"
"Dermaleichus picimajoris Buchholz, 1870","Mesalgoides picimajoris (Buchholz, 1870)"
"Mesapamea didyma (Esper, 1788)","Mesapamea secalella Remm, 1983"
"Haloentomobrya dollfusi (Denis, 1924)","Mesentotoma dollfusi (Denis, 1924)"
"Damaeus michaelii Hull, 1915","Metabelba papillipes (Van der Hammen, 1952)"
"Metabelba cremersi Van der Hammen, 1952","Metabelba papillipes (Van der Hammen, 1952)"
"Metalimnobia xanthoptera (Meigen, 1804)","Metalimnobia bifasciata (Schrank, 1781)"
"Listrophorus pagenstecheri Haller, 1880","Metalistrophorus pagenstecheri (Haller, 1880)"
"Metamasius humipterus (Linnaeus, 1758)","Metamasius hemipterus (Linnaeus, 1758)"
"Methocha ichneumonides Latreille, 1804","Methocha articulata (Latreille, 1792)"
"Stenula rubrovittata (Sars, 1882)","Metopa rubrovittata Sars, 1883"
"Metopia roserii Rondani, 1859","Metopia argentata Macquart, 1850"
"Metopia stackelbergi Rohdendorf, 1955","Metopia argentata Macquart, 1850"
"Metopia leucocephala (Rossi, 1790)","Metopia argyrocephala (Meigen, 1824)"
"Metopia rondaniana Venturi, 1953","Metopia staegeri Rondani, 1859"
"Leptophora braueri (Strobl, 1880)","Metopina braueri (Strobl, 1880)"
"Leptophora cuneata Schmitz, 1924","Metopina braueri (Strobl, 1880)"
"Metopina cuneata (Schmitz, 1924)","Metopina braueri (Strobl, 1880)"
"Metopomyza flavoscutellaris (Zetterstedt, 1838)","Metopomyza flavonotata (Haliday, 1833)"
"Metopsia retusa (Stephens, 1843)","Metopsia clypeata (Muller, 1821)"
"Metridium senile (Linnaeus, 1761)","Metridium dianthus (Linnaeus, 1761)"
"Metriocnemus atratulus (Zetterstedt, 1850)","Metriocnemus albolineatus (Meigen, 1818)"
"Metriocnemus martinii Thienemann, 1921","Metriocnemus cavicola Kieffer, 1921"
"Metriocnemus obscuripes (Holmgren, 1869)","Metriocnemus eurynotus (Holmgren, 1883)"
"Micrambe vini (Panzer, 1797)","Micrambe ulicis (Stephens, 1830)"
"Flabellina gracilis (Alder & Hancock, 1844)","Microchlamylla gracilis (Alder & Hancock, 1844)"
"Cryptocyclops bicolor (Sars, 1863)","Microcyclops bicolor (Sars, 1863)"
"Microdon eggeri Mik, 1897","Microdon analis (Macquart, 1842)"
"Microgaster auriculata (Fabricius, 1804)","Microgaster elegans Herrich-Schaffer, 1838"
"Micrommata roseum (Clerck, 1757)","Micrommata virescens (Clerck, 1757)"
"Micromyia lucorum Rondani, 1840","Micromya lucorum Rondani, 1840"
"Microphor velutinus Macquart, 1827","Microphor holosericeus (Meigen, 1804)"
"Rhynchodemus terrestris (Muller, 1774)","Microplana terrestris (Muller, 1774)"
"Microplontus figuratus (Gyllenhal, 1837)","Microplontus rugulosus (Herbst, 1795)"
"Micropsectra subnitens Goetghebuer, 1928","Micropsectra atrofasciata (Kieffer, 1911)"
"Micropsectra gmundensis (Egger, 1863)","Micropsectra junci (Meigen, 1818)"
"Micropsectra praecox (Wiedemann in Meigen, 1818)","Micropsectra junci (Meigen, 1818)"
"Dirhagus lepidus (Rosenhauer, 1847)","Microrhagus lepidus Rosenhauer, 1847"
"Dirhagus pygmaeus (Fabricius, 1793)","Microrhagus pygmaeus (Fabricius, 1793)"
"Microstella norvegica (Boeck, 1865)","Microsetella norvegica (Boeck, 1865)"
"Microsoma delicatum (Meigen, 1824)","Microsoma exiguum (Meigen, 1824)"
"Microsoma viduum (Egger, 1860)","Microsoma exiguum (Meigen, 1824)"
"Diorchestes consanguineus (Oudemans, 1908)","Microzetorchestes emeryi (Coggi, 1898)"
"Chlamys varia (Linnaeus, 1758)","Mimachlamys varia (Linnaeus, 1758)"
"Acanthoscelides mimosae (Fabricius, 1781)","Mimosestes mimosae (Fabricius, 1781)"
"Mimus polyglottus (Linnaeus, 1758)","Mimus polyglottos (Linnaeus, 1758)"
"Minettia rivosa (Meigen, 1826)","Minettia fasciata (Fallen, 1826)"
"Minettia uncinata (De Meijere, 1907)","Minettia tubifer (Meigen, 1826)"
"Oribata fusigera Michael, 1884","Minunthozetes semirufus (Koch, 1841)"
"Trionymus subterraneus (Newstead, 1893)","Mirococcopsis subterraneus (Newstead, 1893)"
"Zercon sellnicki Schweitzer, 1948","Mixozercon sellnicki (Schweitzer, 1948)"
"Mochlonyx culiciformis (De Geer, 1776)","Mochlonyx velutinus (Ruthe, 1831)"
"Modiolus phaseolina Philippi, 1844","Modiolula phaseolina (Philippi, 1844)"
"Modiolus phaseolinus Philippi, 1844","Modiolula phaseolina (Philippi, 1844)"
"Tellina donacina Linnaeus, 1758","Moerella donacina (Linnaeus, 1758)"
"Ostroumovia inkermanica (Paltschikowa-Ostroumova, 1925)","Moerisia inkermanica Paltschikowa-Ostroumova, 1925"
"Mogulones cruciger (Herbst, 1784)","Mogulones crucifer (Pallas, 1771)"
"Pempelia obductella Zeller, 1839","Moitrelia obductella Zeller, 1839"
"Molophilus armatus De Meijere, 1918","Molophilus appendiculatus (Staeger, 1840)"
"Molophilus ochrescens Edwards, 1938","Molophilus crassipygus De Meijere, 1918"
"Molophilus bifilatus Verrall, 1886","Molophilus griseus (Meigen, 1804)"
"Monardia halterata (Zetterstedt, 1852)","Monardia atra (Meigen, 1804)"
"Xylopriona atra (Meigen, 1804)","Monardia atra (Meigen, 1804)"
"Monardia vanderwulpi De Meijere, 1899","Monardia stirpium Kieffer, 1895"
"Monarthropalpus buxi (Laboulbene, 1873)","Monarthropalpus flavus (Schrank, 1776)"
"Colpodia carolinae (Felt, 1907)","Monepidosis carolinae (Felt, 1907)"
"Tryphon braccatus (Gravenhorst, 1820)","Monoblastus discedens (Schmiedeknecht, 1912)"
"Bremia subterranea Kieffer, 1898","Monobremia subterranea Kieffer, 1913"
"Paltodora cytisella (Curtis, 1837)","Monochroa cytisella (Curtis, 1837)"
"Monoclona halterata (Staeger, 1840)","Monoclona rufilatera (Walker, 1837)"
"Corophium acherusicum Costa, 1851","Monocorophium acherusicum (Costa, 1851)"
"Corophium insidiosum Crawford, 1937","Monocorophium insidiosum (Crawford, 1937)"
"Alloptes palmates Canestrini, 1897","Monojoubertia microphylla (Megnin in Robin & Megnin, 1877)"
"Proctophyllodes microphylla Megnin in Robin & Megnin, 1877","Monojoubertia microphylla (Megnin in Robin & Megnin, 1877)"
"Monopelopia ferruginicollis (Meigen, 1818)","Monopelopia tenuicalcar (Kieffer, 1918)"
"Monophadnoides geniculatus (Hartig, 1837)","Monophadnoides rubi (Harris, 1845)"
"Pterodectes cylindrica Robin, 1877","Montesauria cylindrica (Robin, 1877)"
"Mordellistena micantoides Ermisch, 1954","Mordellistena austriaca Schilsky, 1899"
"Morellia curvipes (Macquart, 1834)","Morellia aenescens Robineau-Desvoidy, 1830"
"Lauroppia neerlandica (Oudemans, 1900)","Moritzoppia neerlandica (Oudemans, 1900)"
"Mosillus arcuatus Latreille, 1805","Mosillus subsultans (Fabricius, 1794)"
"Cryptopygus gisini Massoud & Rapoport, 1968","Mucrosomia garretti (Bagnall, 1939)"
"Isotomina caeca Gisin, 1960","Mucrosomia garretti (Bagnall, 1939)"
"Mucrosomia gisini (Massoud & Rapoport, 1968)","Mucrosomia garretti (Bagnall, 1939)"
"Rhodacarus denticulatus Berlese, 1921","Multidentorhodacarus denticulatus (Berlese, 1921)"
"Rhodacarus guevarai Guevara-Benitez, 1974","Multidentorhodacarus denticulatus (Berlese, 1921)"
"Musca corvina Fabricius, 1781","Musca autumnalis De Geer, 1776"
"Musca aurifacies Robineau-Desvoidy, 1830","Musca domestica Linnaeus, 1758"
"Muscina assimilis (Fallen, 1823)","Muscina levida (Harris, 1780)"
"Muscina caesia (Robineau-Desvoidy, 1863)","Muscina levida (Harris, 1780)"
"Muscina pabulorum (Fallen, 1817)","Muscina prolapsa (Harris, 1780)"
"Musculus svecicus (Fabricius, 1788)","Musculus niger (Gray, 1824)"
"Modiolarca subpicta (Cantraine, 1835)","Musculus subpicta (Cantraine, 1835)"
"Musculus marmoratus (Cantraine, 1835)","Musculus subpicta (Cantraine, 1835)"
"Musculus subpicta (Cantraine, 1835)","Musculus subpicta (Cantraine, 1835)"
"Mycetobia validinervis (Zetterstedt, 1850)","Mycetobia pallipes Meigen, 1818"
"Mycetophila guttata Dziedzicki, 1884","Mycetophila alea Laffoon, 1965"
"Mycetophila lunata Macquart, 1834","Mycetophila cingulum Meigen, 1830"
"Mycetophila obscura Dziedzicki, 1884","Mycetophila dziedzickii Chandler, 1977"
"Mycetophila nebulosa Edwards, 1913","Mycetophila edwardsi Lundstrom, 1913"
"Mycetophila punctata Meigen, 1804","Mycetophila fungorum (De Geer, 1776)"
"Mycetophila dimidiata Staeger, 1840","Mycetophila ocellus Walker, 1848"
"Mycetophila ocelus Walker, 1848","Mycetophila ocellus Walker, 1848"
"Mycetophila bimaculata (Fabricius, 1805)","Mycetophila pictula Meigen, 1830"
"Mycetoporus splendens (Marsham, 1802)","Mycetoporus nigricollis Stephens, 1835"
"Isodiplosis deutera Milne, 1960","Mycodiplosis inimica (Fitch, 1861)"
"Isodiplosis involuta Rubsaamen, 1910","Mycodiplosis inimica (Fitch, 1861)"
"Mycodiplosis plasmoparae Rubsaamen, 1906","Mycodiplosis inimica (Fitch, 1861)"
"Mycomya flava (Winnertz, 1863)","Mycomya affinis (Staeger, 1840)"
"Mycomya incisurata (Zetterstedt, 1838)","Mycomya annulata (Meigen, 1818)"
"Mycomya alacris (Winnertz, 1863)","Mycomya cinerascens (Macquart, 1826)"
"Mycomya lucorum (Winnertz, 1863)","Mycomya circumdata (Staeger, 1840)"
"Mycomya limbata (Winnertz, 1863)","Mycomya marginata (Meigen, 1818)"
"Mycomya apicalis (Winnertz, 1863)","Mycomya tenuis (Walker, 1856)"
"Mycomya fissa (Lundstrom, 1911)","Mycomya wankowiczii (Dziedzicki, 1885)"
"Mycomya notabilis (Staeger, 1840)","Mycomya wankowiczii (Dziedzicki, 1885)"
"Mycophaga fungorum (De Geer, 1776)","Mycophaga testacea (Gimmerthal, 1834)"
"Mycophaga rufiventris (Macquart, 1835)","Mycophaga testacea (Gimmerthal, 1834)"
"Mycophila barnesi Edwards, 1938","Mycophila fungicola Felt, 1911"
"Mydaea pagana (Fabricius, 1794)","Mydaea corni (Scopoli, 1763)"
"Mydaea scutellaris Robineau-Desvoidy, 1830","Mydaea corni (Scopoli, 1763)"
"Mydaea tincta (Zetterstedt, 1845)","Mydaea humeralis Robineau-Desvoidy, 1830"
"Mydaea detrita (Zetterstedt, 1845)","Mydaea orthonevra (Macquart, 1835)"
"Myennis fasciata (Fabricius, 1805)","Myennis octopunctata (Coquebert, 1798)"
"Anoetus dionychus Oudemans, 1910","Myianoetus dionychus (Oudemans, 1910)"
"Acarus muscarum Linnaeus, 1758","Myianoetus muscarum (Linnaeus, 1758)"
"Myocoptes glareoli Samsinak, 1957","Myocoptes japonensis Radford, 1955"
"Myocoptes jamesoni Radford, 1955","Myocoptes japonensis Radford, 1955"
"Listophorus larisi Voroboiv, 1938","Myocoptes musculinus (Koch, 1844)"
"Sarcoptes musculinus Koch, 1836","Myocoptes musculinus (Koch, 1844)"
"Clethrionomys glareolus (Schreber, 1780)","Myodes glareolus (Schreber, 1780)"
"Myolepta luteola (Gmelin, 1790)","Myolepta dubia (Fabricius, 1805)"
"Myopa strandi Duda, 1940","Myopa vicaria Walker, 1849"
"Myopa extricata Collin, 1960","Myopa pellucida Robineau-Desvoidy, 1803"
"Myopina reflexa Robineau-Desvoidy, 1830","Myopina myopina (Fallen, 1830)"
"Myospila hennigi Gregor & Povolny, 1959","Myospila bimaculata (Macquart, 1834)"
"Myotis bechsteini (Kuhl, 1817)","Myotis bechsteinii (Kuhl, 1817)"
"Myotis brandti (Eversmann, 1845)","Myotis brandtii (Eversmann, 1845)"
"Myotis daubentoni (Kuhl, 1817)","Myotis daubentonii (Kuhl, 1817)"
"Xenusa uvida (Erichson, 1840)","Myrmecopora uvida (Erichson, 1840)"
"Myrmica microrubra Seifert, 1993","Myrmica rubra (Linnaeus, 1758)"
"Myrmica schenckioides Boer & Noordijk, 2005","Myrmica schencki Emery, 1895"
"Mystacides azurea (Linnaeus, 1761)","Mystacides azureus (Linnaeus, 1761)"
"Mystacides nigra (Linnaeus, 1758)","Mystacides niger (Linnaeus, 1758)"
"Myxexoristops arudinacea (De Meijere, 1920)","Myxexoristops bonsdorffi (Zetterstedt, 1859)"
"Myxexoristops arudinea (De Meijere, 1920)","Myxexoristops bonsdorffi (Zetterstedt, 1859)"
"Nacobbus serendipiticus Franklin, 1959","Nacobbus aberrans (Thorne, 1935)"
"Nais barbata Muller, 1773","Nais barbata Muller, 1774"
"Nais elinguis Muller, 1773","Nais elinguis Muller, 1774"
"Nanhermannia ussurica Golosova, 1969","Nanhermannia comitalis Berlese, 1916"
"Nanhermannia areolata Strenzke, 1953","Nanhermannia elegantula Berlese, 1913"
"Nanhermannia nanus (Nicolet, 1855)","Nanhermannia nana (Nicolet, 1855)"
"Nanna leucochaeta (De Meijere, 1907)","Nanna inermis (Becker, 1894)"
"Troglodytes troglodytes (Linnaeus, 1758)","Nannus troglodytes (Linnaeus, 1758)"
"Nanocladius bicolor (Zetterstedt, 1838)","Nanocladius dichromus (Kieffer, 1906)"
"Nanocladius nanulus (Van der Wulp, 1874)","Nanocladius dichromus (Kieffer, 1906)"
"Napomyza cineracea (Hendel, 1920)","Napomyza nigritula (Zetterstedt, 1838)"
"Neaera albicollis (Meigen, 1824)","Neaera laticornis (Meigen, 1824)"
"Achorutes muscorum Templeton, 1835","Neanura muscorum (Templeton, 1835)"
"Nelima semproni Szalay, 1951","Nelima sempronii Szalay, 1951"
"Nematinus abdominalis (Panzer, 1798)","Nematinus fuscipennis (Serville, 1823)"
"Nematus capreae (Linnaeus, 1758)","Nematus miliaris (Panzer, 1797)"
"Nematus melanaspis Hartig, 1840","Nematus papillosus (Retzius, 1783)"
"Nemopoda cylindrica (Fabricius, 1794)","Nemopoda nitidula (Fallen, 1820)"
"Nemorilla notabilis (Meigen, 1824)","Nemorilla floralis (Fallen, 1810)"
"Nemotelus nigroaeneus Verhoeff, 1891","Nemotelus notatus Zetterstedt, 1842"
"Nemoura variegata Olivier, 1811","Nemoura cinerea (Retzius, 1783)"
"Nemoura picteti Klapalek, 1900","Nemurella pictetii Klapalek, 1900"
"Amphitrite johnstoni Malmgren, 1865","Neoamphitrite figulus (Dalyell, 1853)"
"Neoamphitrite figulus (Dallyell, 1853)","Neoamphitrite figulus (Dalyell, 1853)"
"Neoascia floralis (Meigen, 1822)","Neoascia annexa (Muller, 1776)"
"Neoascia aenea (Meigen, 1822)","Neoascia meticulosa (Scopoli, 1763)"
"Neoascia dispar (Meigen, 1822)","Neoascia tenur (Harris, 1780)"
"Neoascia imperfecta Van Doesburg, 1953","Neoascia unifasciata (Strobl, 1898)"
"Neobisium muscorum (Leach, 1817)","Neobisium carcinoides (Hermann, 1804)"
"Neobranchychthonius magnus Moritz, 1976","Neobrachychthonius magnus (Moritz, 1976)"
"Sarcoptes laevis Railliet, 1885","Neocnemidocoptes laevis (Railliet, 1885)"
"Caenorhinus aeneovirens (Marsham, 1802)","Neocoenorrhinus aeneovirens (Marsham, 1802)"
"Caenorhinus germanicus (Herbst, 1797)","Neocoenorrhinus germanicus (Herbst, 1797)"
"Caenorhinus interpunctatus (Stephens, 1831)","Neocoenorrhinus interpunctatus (Stephens, 1831)"
"Caenorhinus pauxillus (Germar, 1824)","Neocoenorrhinus pauxillus (Germar, 1824)"
"Asiorestia ferruginea (Scopoli, 1763)","Neocrepidodera ferruginea (Scopoli, 1763)"
"Asiorestia motschulskii Konstantinov, 1991","Neocrepidodera motschulskii (Konstantinov, 1991)"
"Asiorestia transversa (Marsham, 1802)","Neocrepidodera transversa (Marsham, 1802)"
"Janua brasiliensis (Grube, 1872)","Neodexiospira brasiliensis (Grube, 1872)"
"Machimus setosulus (Zeller, 1840)","Neoepitriptus setosulus (Zeller, 1840)"
"Neohaplegis laevigata (Fallen, 1820)","Neohaplegis tarsata (Fallen, 1820)"
"Neoleria crepusculascens (Schmitz, 1917)","Neoleria ruficeps (Zetterstedt, 1838)"
"Neolimnomyia dimidiata (De Meijere, 1918)","Neolimnomyia adjuncta (Walker, 1848)"
"Neolimnomyia leucophaea (Meigen, 1818)","Neolimnomyia nemoralis (Meigen, 1818)"
"Neolimnomyia memoralis (Meigen, 1818)","Neolimnomyia nemoralis (Meigen, 1818)"
"Hoplocephala bicornis (Fabricius, 1777)","Neomida bicornis (Fabricius, 1777)"
"Paritamus geniculatus (Meigen, 1820)","Neomochtherus geniculatus (Meigen, 1820)"
"Neomyia caesarion (Meigen, 1826)","Neomyia cornicina (Fabricius, 1781)"
"Neopachygaster meromelaena (Austen, 1901)","Neopachygaster meromelas (Dufour, 1841)"
"Neopachygaster orbitalis Wahlberg, 1854","Neopachygaster meromelas (Dufour, 1841)"
"Pachycondyla unidentata Mayr, 1862","Neoponera unidentata (Mayr, 1862)"
"Typhlodromus aceri Collyer, 1857","Neoseiullela aceri (Collyer, 1857)"
"Seiulus tiliarum (Oudemans, 1930)","Neoseiullela tiliarum (Oudemans, 1930)"
"Typhlodromus tiliarum Oudemans, 1930","Neoseiullela tiliarum (Oudemans, 1930)"
"Typhlodromus tuberculatus Wainstein, 1958","Neoseiullela tuberculata (Wainstein, 1958)"
"Amblyseius aequisetus Wainstein, 1962","Neoseiulus agrestis (Karg, 1960)"
"Amblyseius agrestis (Karg, 1960)","Neoseiulus agrestis (Karg, 1960)"
"Typhlodromus agrestis Karg, 1960","Neoseiulus agrestis (Karg, 1960)"
"Amblyseius aurescens Athias-Henriot, 1961","Neoseiulus alpinus (Schweizer, 1922)"
"Lasioseius polonicus Willmann, 1949","Neoseiulus alpinus (Schweizer, 1922)"
"Typhlodromus alpinus Schweizer, 1922","Neoseiulus alpinus (Schweizer, 1922)"
"Amblyseius barkeri Hughes, 1948","Neoseiulus barkeri (Hughes, 1948)"
"Amblyseius masiaka Blommers & Chazeau, 1974","Neoseiulus barkeri (Hughes, 1948)"
"Amblyseius mckenziei Schuster & Pritchard, 1963","Neoseiulus barkeri (Hughes, 1948)"
"Amblyseius mycophilus Karg, 1970","Neoseiulus barkeri (Hughes, 1948)"
"Amblyseius oahuensis Prasad, 1968","Neoseiulus barkeri (Hughes, 1948)"
"Amblyseius picketti Specht, 1968","Neoseiulus barkeri (Hughes, 1948)"
"Amblyseius usitatus Van der Merwe, 1965","Neoseiulus barkeri (Hughes, 1948)"
"Amblyseius bicaudus (Wainstein, 1962)","Neoseiulus bicaudus (Wainstein, 1962)"
"Typhlodromus bicaudus Wainstein, 1962","Neoseiulus bicaudus (Wainstein, 1962)"
"Amblyseius callunae Willmann, 1952","Neoseiulus callunae (Willmann, 1952)"
"Amblyseius coprophilus Karg, 1970","Neoseiulus cucumeris (Oudemans, 1930)"
"Amblyseius cucumeris (Oudemans, 1930)","Neoseiulus cucumeris (Oudemans, 1930)"
"Typhlodromus cucumeris Oudemans, 1930","Neoseiulus cucumeris (Oudemans, 1930)"
"Iphidulus fallacis Garman, 1948","Neoseiulus fallacis (Garman, 1948)"
"Amblyseius reductus Wainstein, 1962","Neoseiulus reductus (Wainstein, 1962)"
"Typhlodromus reticulatus Oudemans, 1930","Neoseiulus reticulatus (Oudemans, 1930)"
"Amblyseius canadensis Chant & Hansell, 1971","Neoseiulus subsolidus (Begljarov, 1960)"
"Amblyseius subsolidus Begljarov, 1960","Neoseiulus subsolidus (Begljarov, 1960)"
"Typhlodromus umbraticus Chant, 1956","Neoseiulus umbraticus (Chant, 1956)"
"Amblyseius zwoelferi Dosse, 1957","Neoseiulus zwoelferi (Dosse, 1957)"
"Neotullbergia crassicuspis (Gisin, 1944)","Neotullbergia staudacheri (Kos, 1940)"
"Mustela vison Schreber, 1777","Neovison vison (Schreber, 1777)"
"Nephrotoma histrio (Fabricius, 1794)","Nephrotoma flavescens (Linnaeus, 1758)"
"Nephrotoma lineata (Scopoli, 1763)","Nephrotoma flavescens (Linnaeus, 1758)"
"Nephtys hombergii Savigny in Lamarck, 1818","Nephtys hombergii (Savigny, 1818)"
"Nephus includens (Kirsch, 1871)","Nephus conjunctus (Wollaston, 1870)"
"Neria cothurnata (Panzer, 1798)","Neria cibaria (Linnaeus, 1761)"
"Neria trivialis (Loew, 1854)","Neria cibaria (Linnaeus, 1761)"
"Nerocila maculata Milne Edwards, 1840","Nerocila orbignyi (Milne Edwards, 1840)"
"Nesomyrmex dalmasi (Forel, 1899)","Nesomyrmex echinatinodis (Forel, 1886)"
"Dulophanes morio (Fabricius, 1781)","Nesoselandria morio (Fabricius, 1781)"
"Nicrophorus fossor Erichson, 1837","Nicrophorus interruptus Stephens, 1830"
"Nilea major (Macquart, 1849)","Nilea hortulana (Meigen, 1824)"
"Nomada lepeletieri Perez, 1884","Nomada bifasciata Olivier, 1811"
"Nomada lineola Panzer, 1798","Nomada fulvicornis Fabricius, 1793"
"Nomada cinctiventris Schwarz, 1967","Nomada integra Brulle, 1832"
"Nomada glabella Thomson, 1870","Nomada panzeri Lepeletier, 1841"
"Nomada tormentillae Alfken, 1901","Nomada roberjeotiana Panzer, 1799"
"Nomada bifida Thomson, 1872","Nomada ruficornis (Linnaeus, 1758)"
"Nomada cinnabarina Morawitz, 1872","Nomada stigma Fabricius, 1804"
"Nomada hillana (Kirby, 1802)","Nomada striata Fabricius, 1793"
"Nopoiulus minutus (Brandt, 1841)","Nopoiulus kochii (Gervais, 1847)"
"Nopoiulus venustus (Meinert, 1868)","Nopoiulus kochii (Gervais, 1847)"
"Norellia flavicauda (Meigen, 1826)","Norellia armipes (Meigen, 1826)"
"Norrbomia opacifrons (Duda, 1923)","Norrbomia costalis (Zetterstedt, 1847)"
"Macropus rufogriseus (Desmarest, 1817)","Notamacropus rufogriseus (Desmarest, 1817)"
"Notiophilus aesthuans Motschulsky, 1864","Notiophilus aestuans Dejean, 1826"
"Notiophilus pusillus Waterhouse, 1833","Notiophilus aestuans Dejean, 1826"
"Notiphila brunnipes (Loew, 1905)","Notiphila brunipes (Robineau-Desvoidy, 1830)"
"Notiphila chamaeleon Becker, 1896","Notiphila brunipes (Robineau-Desvoidy, 1830)"
"Dichaeta caudata (Fallen, 1813)","Notiphila caudata Fallen, 1813"
"Notiphila brevicauda (Loew, 1860)","Notiphila caudata Fallen, 1813"
"Sarcoptes cati Hering, 1838","Notoedres cati (Hering, 1838)"
"Prosopodectes chiropteralis (Trouessart, 1896)","Notoedres chiropteralis (Trouessart, 1896)"
"Sarcoptes chiropteralis Trouessart, 1896","Notoedres chiropteralis (Trouessart, 1896)"
"Sarcoptes muris Megnin, 1877","Notoedres muris (Megnin, 1877)"
"Notoedris musculi Oudemans, 1926","Notoedres musculii (Kraemer, 1865)"
"Sarcoptes musculii Kraemer, 1865","Notoedres musculii (Kraemer, 1865)"
"Nototeredo norvegica (Spengler, 1792)","Nototeredo norvagica (Spengler, 1792)"
"Atylus falcatus Metzger, 1871","Nototropis falcatus (Metzger, 1871)"
"Atylus guttatus (Costa, 1851)","Nototropis guttatus Costa, 1853"
"Atylus swammerdamei (Milne-Edwards, 1830)","Nototropis swammerdamei (Milne-Edwards, 1830)"
"Atylus swammerdami (Milne-Edwards, 1830)","Nototropis swammerdamei (Milne-Edwards, 1830)"
"Nycteribia blasii (Kolenati, 1863)","Nycteribia kolenatii Theodor & Moscona, 1954"
"Nycteribia latreillei (Leach, 1817)","Nycteribia latreillii (Leach, 1817)"
"Nycteribia latreilli (Leach, 1817)","Nycteribia latreillii (Leach, 1817)"
"Nyctia nigrita (Scopoli, 1763)","Nyctia halterata (Panzer, 1798)"
"Cryphia muralis (Forster, 1771)","Nyctobrya muralis (Forster, 1771)"
"Paratrechina bourbonica (Forel, 1886)","Nylanderia bourbonica (Forel, 1886)"
"Paratrechina flavipes (Smith, 1874)","Nylanderia flavipes (Smith, 1874)"
"Paratrechina steinheili (Forel, 1893)","Nylanderia steinheili (Forel, 1893)"
"Paratrechina vividula Nylander, 1846","Nylanderia vividula Nylander, 1846"
"Obelia plicata Hincks, 1868","Obelia dichotoma (Linnaeus, 1758)"
"Ocenebra erinacea (Linnaeus, 1758)","Ocenebra erinaceus (Linnaeus, 1758)"
"Aedes annulipes (Meigen, 1830)","Ochlerotatus annulipes (Meigen, 1830)"
"Aedes quartus Martini, 1920","Ochlerotatus annulipes (Meigen, 1830)"
"Aedes flavescens (Muller, 1764)","Ochlerotatus flavescens (Muller, 1764)"
"Aedes geniculatus (Olivier, 1791)","Ochlerotatus geniculatus (Olivier, 1791)"
"Aedes lateralis (Meigen, 1818)","Ochlerotatus geniculatus (Olivier, 1791)"
"Aedes ornatus (Meigen, 1818)","Ochlerotatus geniculatus (Olivier, 1791)"
"Aedes nigrinus (Eckstein, 1918)","Ochlerotatus nigrinus (Eckstein, 1918)"
"Aedes punctor (Kirby in Richardson, 1837)","Ochlerotatus punctor (Kirby in Richardson, 1837)"
"Aedes diversus (Theobald, 1901)","Ochlerotatus rusticus (Rossi, 1790)"
"Aedes rusticus (Rossi, 1790)","Ochlerotatus rusticus (Rossi, 1790)"
"Ochlodes faunus (Bremer & Grey, 1853)","Ochlodes sylvanus (Esper, 1777)"
"Cryptobium collare Reitter, 1884","Ochthephilum collare (Reitter, 1884)"
"Cryptobium fracticorne (Paykull, 1800)","Ochthephilum fracticorne (Paykull, 1800)"
"Ancyrophorus longipennis (Fairmaire & Laboulbene, 1856)","Ochthephilus rosenhaueri (Kiesenwetter, 1850)"
"Ocenebra inornata (Recluz, 1851)","Ocinebrellus inornata (Recluz, 1851)"
"Ocenebra inornatus (Recluz, 1851)","Ocinebrellus inornata (Recluz, 1851)"
"Metaspidiotus stauntoniae Takagi, 1957","Octaspidiotus stauntoniae (Takahashi, 1933)"
"Ocydromia scutellata Meigen, 1820","Ocydromia glabricula (Fallen, 1816)"
"Ocypus nero (Faldermann, 1835)","Ocypus nitens (Schrank, 1781)"
"Ocytata antiqua (Meigen, 1824)","Ocytata pallipes (Fallen, 1820)"
"Calodera picina Aube, 1850","Ocyusa picina (Aube, 1850)"
"Deubelia picina (Aube, 1850)","Ocyusa picina (Aube, 1850)"
