top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"synonym"	"type_synonym"	"language"	"taxon"	"taxon_nsr_id"	"rank"	
"Valkparkiet"	"isPreferredNameOf"	"Dutch"	"Nymphicus hollandicus (Kerr, 1792)"	"0D5DB0224D52"	
"Rode zeespin"	"isPreferredNameOf"	"Dutch"	"Nymphon brevirostre Hodge, 1863"	"0847E2D54151"	
"Sierlijke zeespin"	"isPreferredNameOf"	"Dutch"	"Nymphon gracile Leach, 1814"	"07664F8F414E"	
"Slanke zeespin"	"isAlternativeNameOf"	"Dutch"	"Nymphon gracile Leach, 1814"	"07664F8F414E"	
"Egelskopmot"	"isPreferredNameOf"	"Dutch"	"Nymphula nitidulata (Hufnagel, 1767)"	"0AHCYFCIHOUC"	
"Nieuw-Zeelandse tarwewants"	"isPreferredNameOf"	"Dutch"	"Nysius huttoni White, 1878"	"0AHCYSICDRZR"	
"Nysson dimidiatus distinguendus"	"isSynonymSLOf"	"Scientific"	"Nysson dimidiatus Jurine, 1807"	"0AHCYFCQOXHX"	
"Obelia plicata Hincks, 1868"	"isSynonymOf"	"Scientific"	"Obelia dichotoma (Linnaeus, 1758)"	"0AHCYSI11307"	
"Zeedraad"	"isPreferredNameOf"	"Dutch"	"Obelia dichotoma (Linnaeus, 1758)"	"0AHCYSI11307"	
"Geknoopte zeedraad"	"isPreferredNameOf"	"Dutch"	"Obelia geniculata (Linnaeus, 1758)"	"0AHCYSI11308"	
"Lange zeedraad"	"isPreferredNameOf"	"Dutch"	"Obelia longissima (Pallas, 1766)"	"0AHCYSI11309"	
"Hazelaarboktor"	"isPreferredNameOf"	"Dutch"	"Oberea linearis (Linnaeus, 1760)"	"0AHCYFBRRHJF"	
"Hazelboktor"	"isAlternativeNameOf"	"Dutch"	"Oberea linearis (Linnaeus, 1760)"	"0AHCYFBRRHJF"	
"Geelhalsboktor"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Oogvlekboktor"	"isPreferredNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Roodhalswilgenboktor"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Roodhalzige wilgenboktor"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Tweeogige wilgenbok"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Tweeoogbok"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Tweeoogwilgenbok"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Tweeoogwilgenboktor"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Tweestipwilgenbok"	"isAlternativeNameOf"	"Dutch"	"Oberea oculata (Linnaeus, 1758)"	"0AHCYFBRRIJX"	
"Robiniagalmug"	"isPreferredNameOf"	"Dutch"	"Obolodiplosis robiniae (Haldeman, 1847)"	"000000025214"	
"Bruine soldaatboktor"	"isPreferredNameOf"	"Dutch"	"Obrium brunneum (Fabricius, 1793)"	"0AHCYFBRRKCL"	
"Rode soldaatboktor"	"isPreferredNameOf"	"Dutch"	"Obrium cantharinum (Linnaeus, 1767)"	"0AHCYFBRRLDD"	
"Wilsons stormvogeltje"	"isPreferredNameOf"	"Dutch"	"Oceanites oceanicus (Kuhl, 1820)"	"000464945572"	
"Vaal stormvogeltje"	"isPreferredNameOf"	"Dutch"	"Oceanodroma leucorhoa (Vieillot, 1817)"	"000464944133"	
"Geschubde stekelhoren"	"isPreferredNameOf"	"Dutch"	"Ocenebra erinaceus (Linnaeus, 1758)"	"0AHCYSI11028"	
"Ocenebra erinacea (Linnaeus, 1758)"	"isSynonymOf"	"Scientific"	"Ocenebra erinaceus (Linnaeus, 1758)"	"0AHCYSI11028"	
"Stekelhoren"	"isAlternativeNameOf"	"Dutch"	"Ocenebra erinaceus (Linnaeus, 1758)"	"0AHCYSI11028"	
"Klimopkever"	"isPreferredNameOf"	"Dutch"	"Ochina ptinoides (Marsham, 1802)"	"0AHCYFBQHHNK"	
"Aedes annulipes (Meigen, 1830)"	"isSynonymSLOf"	"Scientific"	"Ochlerotatus annulipes (Meigen, 1830)"	"0AHCYFBFPUUP"	
"Aedes quartus Martini, 1920"	"isSynonymOf"	"Scientific"	"Ochlerotatus annulipes (Meigen, 1830)"	"0AHCYFBFPUUP"	
"Aedes flavescens (Müller, 1764)"	"isSynonymSLOf"	"Scientific"	"Ochlerotatus flavescens (Müller, 1764)"	"0AHCYFBFQEBK"	
"Aedes geniculatus (Olivier, 1791)"	"isSynonymSLOf"	"Scientific"	"Ochlerotatus geniculatus (Olivier, 1791)"	"0AHCYFBFQFCD"	
"Aedes lateralis (Meigen, 1818)"	"isSynonymOf"	"Scientific"	"Ochlerotatus geniculatus (Olivier, 1791)"	"0AHCYFBFQFCD"	
"Aedes ornatus (Meigen, 1818)"	"isSynonymOf"	"Scientific"	"Ochlerotatus geniculatus (Olivier, 1791)"	"0AHCYFBFQFCD"	
"Aedes nigrinus (Eckstein, 1918)"	"isSynonymSLOf"	"Scientific"	"Ochlerotatus nigrinus (Eckstein, 1918)"	"0AHCYFBFQJFK"	
"Aedes punctor (Kirby in Richardson, 1837)"	"isSynonymSLOf"	"Scientific"	"Ochlerotatus punctor (Kirby in Richardson, 1837)"	"0AHCYFBFQLGV"	
"Aedes diversus (Theobald, 1901)"	"isSynonymOf"	"Scientific"	"Ochlerotatus rusticus (Rossi, 1790)"	"0AHCYFBFQOIY"	
"Aedes rusticus (Rossi, 1790)"	"isSynonymSLOf"	"Scientific"	"Ochlerotatus rusticus (Rossi, 1790)"	"0AHCYFBFQOIY"	
"Groot dikkopje"	"isPreferredNameOf"	"Dutch"	"Ochlodes sylvanus (Esper, 1777)"	"0AHCYSRJXAPF"	
"Ochlodes faunus (Bremer & Grey, 1853)"	"isSynonymOf"	"Scientific"	"Ochlodes sylvanus (Esper, 1777)"	"0AHCYSRJXAPF"	
"Tweestip-orvlinder"	"isPreferredNameOf"	"Dutch"	"Ochropacha duplaris (Linnaeus, 1761)"	"0AHCYFCIOZVR"	
"Haarbos"	"isPreferredNameOf"	"Dutch"	"Ochropleura plecta (Linnaeus, 1761)"	"0AHCYFCMBIEB"	
"Tarwestekelmot"	"isPreferredNameOf"	"Dutch"	"Ochsenheimeria taurella (Denis & Schiffermüller, 1775)"	"0AHCYFCNRPOX"	
"Lichte stekelmot"	"isPreferredNameOf"	"Dutch"	"Ochsenheimeria vacculella Fischer von Röslerstamm, 1842"	"0AHCYFCNRRHK"	
"Gegroefde dwergoeverkruiper"	"isPreferredNameOf"	"Dutch"	"Ochthebius minimus (Fabricius, 1792)"	"0AHCYFBUTJKM"	
"Cryptobium collare Reitter, 1884"	"isSynonymOf"	"Scientific"	"Ochthephilum collare (Reitter, 1884)"	"0AHCYFBXSPAR"	
"Cryptobium fracticorne (Paykull, 1800)"	"isSynonymOf"	"Scientific"	"Ochthephilum fracticorne (Paykull, 1800)"	"0AHCYFBXFDTX"	
"Ancyrophorus longipennis (Fairmaire & Laboulbène, 1856)"	"isSynonymOf"	"Scientific"	"Ochthephilus rosenhaueri (Kiesenwetter, 1850)"	"0AHCYFBXSSDG"	
"Japanse stekelhoren"	"isPreferredNameOf"	"Dutch"	"Ocinebrellus inornata (Récluz, 1851)"	"000000025578"	
"Ocenebra inornata (Récluz, 1851)"	"isSynonymOf"	"Scientific"	"Ocinebrellus inornata (Récluz, 1851)"	"000000025578"	
"Ocenebra inornatus (Récluz, 1851)"	"isSynonymOf"	"Scientific"	"Ocinebrellus inornata (Récluz, 1851)"	"000000025578"	
"Wit naaldkwastje"	"isPreferredNameOf"	"Dutch"	"Ocnerostoma friesei Svensson, 1966"	"0AHCYFCNQNYW"	
"Grijs naaldkwastje"	"isPreferredNameOf"	"Dutch"	"Ocnerostoma piniariella Zeller, 1847"	"0AHCYFCNQOVC"	
"Metaspidiotus stauntoniae Takagi, 1957"	"isSynonymOf"	"Scientific"	"Octaspidiotus stauntoniae (Takahashi, 1933)"	"0IFI2HD1RZXG"	"soort"	
"Europese achtarm"	"isPreferredNameOf"	"Dutch"	"Octopus vulgaris Lamarck 1798"	"0AHDPDLFKDCD"	
"Europese octopus"	"isAlternativeNameOf"	"Dutch"	"Octopus vulgaris Lamarck 1798"	"0AHDPDLFKDCD"	
"Kraak"	"isAlternativeNameOf"	"Dutch"	"Octopus vulgaris Lamarck 1798"	"0AHDPDLFKDCD"	
"Ocydromia scutellata Meigen, 1820"	"isSynonymOf"	"Scientific"	"Ocydromia glabricula (Fallén, 1816)"	"0AHCYFBHJQYW"	
"Ocypus nero (Faldermann, 1835)"	"isSynonymOf"	"Scientific"	"Ocypus nitens (Schrank, 1781)"	"0AHCYFBXTGNQ"	
"Stinkende kortschild"	"isAlternativeNameOf"	"Dutch"	"Ocypus olens (Müller, 1764)"	"0AHCYFBXTJLH"	
"Stinkende kortschildkever"	"isPreferredNameOf"	"Dutch"	"Ocypus olens (Müller, 1764)"	"0AHCYFBXTJLH"	
"Schorspriemkever"	"isPreferredNameOf"	"Dutch"	"Ocys harpaloides (Audinet-Serville, 1821)"	"0AHCYFBRJRVL"	
"Muurpriemkever"	"isPreferredNameOf"	"Dutch"	"Ocys quinquestriatus (Gyllenhal, 1810)"	"0AHCYFBRJSWD"	
"moerasschorspriemkever"	"isPreferredNameOf"	"Dutch"	"Ocys tachysoides (Antoine, 1933)"	"0TAUDWVVNDZY"	
"Ocytata antiqua (Meigen, 1824)"	"isSynonymOf"	"Scientific"	"Ocytata pallipes (Fallén, 1820)"	"0AHCYFBNKQBT"	
"Calodera picina Aubé, 1850"	"isSynonymOf"	"Scientific"	"Ocyusa picina (Aubé, 1850)"	"0AHCYFBXGJMU"	
"Deubelia picina (Aubé, 1850)"	"isSynonymOf"	"Scientific"	"Ocyusa picina (Aubé, 1850)"	"0AHCYFBXGJMU"	
"Bonte rietloper"	"isPreferredNameOf"	"Dutch"	"Odacantha melanura (Linnaeus, 1767)"	"0AHCYFBRJUPC"	
"Rietloopkever"	"isAlternativeNameOf"	"Dutch"	"Odacantha melanura (Linnaeus, 1767)"	"0AHCYFBRJUPC"	
"Rietsnoerhalsloopkever"	"isAlternativeNameOf"	"Dutch"	"Odacantha melanura (Linnaeus, 1767)"	"0AHCYFBRJUPC"	
"Rouwspanner"	"isPreferredNameOf"	"Dutch"	"Odezia atrata (Linnaeus, 1758)"	"0AHCYFCKNHBK"	
"Dwerg-erwtenmossel"	"isPreferredNameOf"	"Dutch"	"Odhneripisidium moitessierianum (Paladilhe, 1866)"	"0AHCYFEPPKFZ"	
"Dwergerwtenmossel"	"isAlternativeNameOf"	"Dutch"	"Odhneripisidium moitessierianum (Paladilhe, 1866)"	"0AHCYFEPPKFZ"	
"Pisidium moitessierianum Paladilhe, 1866"	"isSynonymOf"	"Scientific"	"Odhneripisidium moitessierianum (Paladilhe, 1866)"	"0AHCYFEPPKFZ"	
"Fijngestreepte erwtenmossel"	"isPreferredNameOf"	"Dutch"	"Odhneripisidium tenuilineatum (Stelfox, 1918)"	"000486763767"	
"Pisidium tenuilineatum Stelfox, 1918"	"isSynonymOf"	"Scientific"	"Odhneripisidium tenuilineatum (Stelfox, 1918)"	"000486763767"	
"Walrus"	"isPreferredNameOf"	"Dutch"	"Odobenus rosmarus (Linnaeus, 1758)"	"000465032122"	
"Kersenspinner"	"isPreferredNameOf"	"Dutch"	"Odonestis pruni (Linnaeus, 1758)"	"0AHCYFCLEYKB"	
"Aziatische klapkaakmier"	"isPreferredNameOf"	"Dutch"	"Odontomachus monticola Emery, 1892"	"000000025044"	
"Veenmoeraswapenvlieg"	"isPreferredNameOf"	"Dutch"	"Odontomyia angulata (Panzer, 1798)"	"0AHCYFBLWLJE"	
"Zilveren moeraswapenvlieg"	"isPreferredNameOf"	"Dutch"	"Odontomyia argentata (Fabricius, 1794)"	"0AHCYFBLWMOU"	
"Kwelmoeraswapenvlieg"	"isPreferredNameOf"	"Dutch"	"Odontomyia hydroleon (Linnaeus, 1758)"	"0AHCYFBLWNPM"	
"Grote moeraswapenvlieg"	"isPreferredNameOf"	"Dutch"	"Odontomyia ornata (Meigen, 1822)"	"0AHCYFBLWOUQ"	
"Zwarte moeraswapenvlieg"	"isPreferredNameOf"	"Dutch"	"Odontomyia tigrina (Fabricius, 1775)"	"0AHCYFBLWPZU"	
"Getande spanner"	"isPreferredNameOf"	"Dutch"	"Odontopera bidentata (Clerck, 1759)"	"0AHCYFCKNJQE"	
"Grote behaarde pantserwants"	"isPreferredNameOf"	"Dutch"	"Odontoscelis fuliginosa (Linnaeus, 1761)"	"0AHCYSIDBXGB"	
"Kleine behaarde pantserwants"	"isPreferredNameOf"	"Dutch"	"Odontoscelis lineola Rambur, 1839"	"0AHCYSIDBYGT"	
"Berkentandvlinder"	"isPreferredNameOf"	"Dutch"	"Odontosia carmelita (Esper, 1799)"	"0AHCYSI00188"	
"Slank tandhorentje"	"isPreferredNameOf"	"Dutch"	"Odostomia plicata (Montagu, 1803)"	"0AHCYSI11348"	
"Spits tandhorentje"	"isPreferredNameOf"	"Dutch"	"Odostomia turrita Hanley, 1844"	"02QIISN4DZFS"	
"Breed tandhorentje"	"isPreferredNameOf"	"Dutch"	"Odostomia unidentata (Montagu, 1803)"	"0AHCYSI11347"	
"Oebalia melaleuca (Meigen, 1824)"	"isSynonymOf"	"Scientific"	"Oebalia minuta (Fallén, 1810)"	"0AHCYFBKSKWS"	
"Oebalia rufitarsis (Meigen, 1824)"	"isSynonymOf"	"Scientific"	"Oebalia minuta (Fallén, 1810)"	"0AHCYFBKSKWS"	
"Boomkrekel"	"isPreferredNameOf"	"Dutch"	"Oecanthus pellucens (Scopoli, 1763)"	"000464553884"	
"Wijnhaantje"	"isAlternativeNameOf"	"Dutch"	"Oecanthus pellucens (Scopoli, 1763)"	"000464553884"	
"Paroecetis struckii (Klapalek, 1903)"	"isBasionymOf"	"Scientific"	"Oecetis strucki (Klapalek, 1903)"	"000000025225"	
"Zwaluwwants"	"isPreferredNameOf"	"Dutch"	"Oeciacus hirundinis (Lamarck, 1816)"	"0AHCYSIBVRZL"	
"Huisspiraalspin"	"isPreferredNameOf"	"Dutch"	"Oecobius navus Blackwall, 1859"	"0AHCYFOOPUMO"	
"Molmboorder"	"isPreferredNameOf"	"Dutch"	"Oecophora bractella (Linnaeus, 1758)"	"0AHCYFCMJRKF"	
"Rode wevermier"	"isPreferredNameOf"	"Dutch"	"Oecophylla longinoda (Latreille, 1802)"	"000000025045"	
"Groene wevermier"	"isPreferredNameOf"	"Dutch"	"Oecophylla smaragdina (Fabricius, 1775)"	"000000025057"	
"Fraaie schijnbok"	"isAlternativeNameOf"	"Dutch"	"Oedemera nobilis (Scopoli, 1763)"	"0AHCYFBVSXQU"	
"Fraaie schijnboktor"	"isPreferredNameOf"	"Dutch"	"Oedemera nobilis (Scopoli, 1763)"	"0AHCYFBVSXQU"	
"Dikdijkever"	"isPreferredNameOf"	"Dutch"	"Oedemera podagrariae (Linnaeus, 1767)"	"0AHCYFBVSYRM"	
"Oedemera subulata Olivier, 1795"	"isSynonymOf"	"Scientific"	"Oedemera pthysica (Scopoli, 1763)"	"0195A7094B68"	
"Groene schijnboktor"	"isPreferredNameOf"	"Dutch"	"Oedemera virescens (Linnaeus, 1767)"	"0AHCYFBVSZSF"	
"Blauwvleugelsprinkhaan"	"isPreferredNameOf"	"Dutch"	"Oedipoda caerulescens (Linnaeus, 1758)"	"000464553717"	
"Roodvleugelsprinkhaan"	"isPreferredNameOf"	"Dutch"	"Oedipoda germanica (Latreille, 1804)"	"0JAVZC3J8M83"	
"Zwaveldominomot"	"isPreferredNameOf"	"Dutch"	"Oegoconia caradjai Popescu-Gorj & Capuse, 1965"	"0AHCYSI00137"	
"Witte dominomot"	"isPreferredNameOf"	"Dutch"	"Oegoconia deauratella (Herrich-Schäffer, 1854)"	"0AHCYFCHVHEJ"	
"Taeniopteryx loewii"	"isSynonymSLOf"	"Scientific"	"Oemopteryx loewii (Albarda, 1889)"	"0AHCYFCCENHV"	
"Woestijntapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe deserti (Temminck, 1825)"	"000464944140"	
"Westelijke blonde tapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe hispanica (Linnaeus, 1758)"	"000464944259"	
"Izabeltapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe isabellina (Temminck, 1829)"	"000464944154"	
"Witkruintapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe leucopyga (Brehm, 1855)"	"0XTG2M1SHU1A"	
"Oostelijke blonde tapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe melanoleuca (Güldenstädt, 1775)"	"0AHCYFCPETEU"	
"Tapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe oenanthe (Linnaeus, 1758)"	"000464944056"	
"Bonte tapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe pleschanka (Lepechin, 1770)"	"000464944168"	
"Oenanthe oenanthe seebohmi (Dixon, 1882)"	"isSynonymOf"	"Scientific"	"Oenanthe seebohmi (Dixon, 1882)"	"0TN474M8ESN8"	
"Seebohms tapuit"	"isPreferredNameOf"	"Dutch"	"Oenanthe seebohmi (Dixon, 1882)"	"0TN474M8ESN8"	
"Vloeivleklieveheersbeestje"	"isPreferredNameOf"	"Dutch"	"Oenopia conglobata (Linnaeus, 1758)"	"0AHCYFBSQSIM"	
"Ongevlekt lieveheersbeestje"	"isPreferredNameOf"	"Dutch"	"Oenopia impustulata (Linnaeus, 1767)"	"0AHCYFBSQTET"	
"Iberische ribloofslak"	"isPreferredNameOf"	"Dutch"	"Oestophora barbula (Rossmässler, 1838)"	"0Y6AK8FSFDFE"	
"Schapenhorzel"	"isPreferredNameOf"	"Dutch"	"Oestrus ovis Linnaeus, 1758"	"0AHCYFBJJRHC"	
"Oranje aaskever"	"isPreferredNameOf"	"Dutch"	"Oiceoptoma thoracicum (Linnaeus, 1758)"	"0AHCYFBWQLGG"	
"Stinkzwamaaskever"	"isAlternativeNameOf"	"Dutch"	"Oiceoptoma thoracicum (Linnaeus, 1758)"	"0AHCYFBWQLGG"	
"Pluimpjesvedermot"	"isPreferredNameOf"	"Dutch"	"Oidaematophorus lithodactyla (Treitschke, 1833)"	"0AHCYFCMMALQ"	
"Wijnkeldermot"	"isPreferredNameOf"	"Dutch"	"Oinophila v-flava (Haworth, 1828)"	"0AHCYFCMWUYQ"	
"Wijnmot"	"isAlternativeNameOf"	"Dutch"	"Oinophila v-flava (Haworth, 1828)"	"0AHCYFCMWUYQ"	
"Labidocarpus belsorum van Eyndhoven, 1940"	"isBasionymOf"	"Scientific"	"Olabidocarpus belsorum (Van Eyndhoven, 1940)"	"0XU4REZ771VP"	
"Labidocarpus cristatus Lawrence, 1953"	"isSynonymOf"	"Scientific"	"Olabidocarpus belsorum (Van Eyndhoven, 1940)"	"0XU4REZ771VP"	
"Wimper-citroenzweefvlieg"	"isPreferredNameOf"	"Dutch"	"Olbiosyrphus laetus (Fabricius, 1794)"	"0AHCYFBMLFUG"	
"Geisha"	"isPreferredNameOf"	"Dutch"	"Olethreutes arcuella (Clerck, 1759)"	"0AHCYFCNKULT"	
"Gladde streepglanskever"	"isPreferredNameOf"	"Dutch"	"Olibrus aeneus (Fabricius, 1792)"	"0AHCYFBVTTKP"	
"Kamillekever"	"isAlternativeNameOf"	"Dutch"	"Olibrus aeneus (Fabricius, 1792)"	"0AHCYFBVTTKP"	
"Oranjegeel halmuiltje"	"isPreferredNameOf"	"Dutch"	"Oligia fasciuncula (Haworth, 1809)"	"0AHCYFCMBLGE"	
"Donker halmuiltje"	"isPreferredNameOf"	"Dutch"	"Oligia latruncula (Denis & Schiffermüller, 1775)"	"0AHCYFCMBMHI"	
"Gelobd halmuiltje"	"isPreferredNameOf"	"Dutch"	"Oligia strigilis (Linnaeus, 1758)"	"0AHCYFCMBNIB"	
"Bont halmuiltje"	"isPreferredNameOf"	"Dutch"	"Oligia versicolor (Borkhausen, 1792)"	"0AHCYFCMBOIT"	
"Oligolophus hansenii (Kraepelin, 1896)"	"isMisspelledNameOf"	"Scientific"	"Oligolophus hanseni (Kraepelin, 1896)"	"0AHCXIYH0067"	
"Oligoneuria rhenana Imhoff, 1852"	"isSynonymSLOf"	"Scientific"	"Oligoneuriella rhenana (Imhoff, 1852)"	"000457169103"	
"Sparrespintmijt"	"isPreferredNameOf"	"Dutch"	"Oligonychus subnudus (McGregor, 1950)"	"0AHCYSI10294"	
"Sparrespintmijt"	"isPreferredNameOf"	"Dutch"	"Oligonychus ununguis (Jacobi, 1905)"	"0AHCYSI10295"	
"Oligosita fuscata Soyka, 1932"	"isSynonymOf"	"Scientific"	"Oligosita impudica Kryger, 1919"	"0AHCYFBBPXUL"	
"Oligosita nigromaculata Soyka, 1931"	"isSynonymOf"	"Scientific"	"Oligosita pallida Kryger, 1919"	"0AHCYFBBPZMZ"	
"Oligota atomaria Erichson, 1837"	"isSynonymOf"	"Scientific"	"Oligota pusillima (Gravenhorst, 1806)"	"0AHCYFBXTZOF"	
"Schmidtiella gemmarum Rübsaamen, 1914"	"isSynonymOf"	"Scientific"	"Oligotrophus gemmarum (Rübsaamen, 1914)"	"0AHCYFBDSSLM"	
"Witte jeneverbesgalmug"	"isPreferredNameOf"	"Dutch"	"Oligotrophus gemmarum (Rübsaamen, 1914)"	"0AHCYFBDSSLM"	
"Rode jeneverbesgalmug"	"isPreferredNameOf"	"Dutch"	"Oligotrophus juniperinus (Linnaeus, 1758)"	"0AHCYFBDPKSP"	
"Coureurmotje"	"isPreferredNameOf"	"Dutch"	"Olindia schumacherana (Fabricius, 1787)"	"0AHCYFCNKWEG"	
"Bronzen heideloper"	"isPreferredNameOf"	"Dutch"	"Olisthopus rotundatus (Paykull, 1790)"	"0AHCYFBRJWMB"	
"Laelaps placentulus Berlese, 1887"	"isSynonymOf"	"Scientific"	"Ololaelaps placentulus (Berlese, 1887)"	"0BUHKG2WCESW"	"soort"	
"Pseudoparasitus placentulus (Berlese, 1887)"	"isSynonymOf"	"Scientific"	"Ololaelaps placentulus (Berlese, 1887)"	"0BUHKG2WCESW"	"soort"	
"Pseudoparasitus sellnicki (Bregetova & Koroleva, 1964)"	"isSynonymOf"	"Scientific"	"Ololaelaps sellnicki Bregetova & Koroleva, 1964"	"0MJ9GTCQBWLM"	"soort"	
"Hypoaspis veneta Berlese, 1904"	"isSynonymOf"	"Scientific"	"Ololaelaps veneta (Berlese, 1904)"	"0R46GX2KN3JO"	"soort"	
"Pseudoparasitus venetus (Berlese, 1904)"	"isSynonymOf"	"Scientific"	"Ololaelaps veneta (Berlese, 1904)"	"0R46GX2KN3JO"	"soort"	
"Omalus aeneus puncticollis (Mocsáry, 1887)"	"isSynonymOf"	"Scientific"	"Omalus puncticollis Mocsáry, 1887"	"0AHCYFCQJMSG"	"variëteit"	
"Omisus rezvoji (Chernovskij, 1937)"	"isSynonymOf"	"Scientific"	"Omisus caledonicus (Edwards, 1932)"	"0AHCYFBEQWNE"	
"Ommastrephes bartrami (Lesueur, 1821)"	"isMisspelledNameOf"	"Scientific"	"Ommastrephes bartramii (Lesueur, 1821)"	"0AHDPDLFKDCA"	
"Purperen pijlinktvis"	"isPreferredNameOf"	"Dutch"	"Ommastrephes bartramii (Lesueur, 1821)"	"0AHDPDLFKDCA"	
"Sthenoteuthis bartrami (Lesueur, 1821)"	"isSynonymSLOf"	"Scientific"	"Ommastrephes bartramii (Lesueur, 1821)"	"0AHDPDLFKDCA"	
"Dikkronkel"	"isPreferredNameOf"	"Dutch"	"Ommatoiulus rutilans (Koch, 1847)"	"0AHCYFAOGREK"	
"Grote tweestreep"	"isPreferredNameOf"	"Dutch"	"Ommatoiulus sabulosus (Linnaeus, 1758)"	"0AHCYFAOGSFD"	
"Bruin schavertje"	"isPreferredNameOf"	"Dutch"	"Omocestus haemorrhoidalis (Charpentier, 1825)"	"000464553912"	
"Negertje"	"isAlternativeNameOf"	"Dutch"	"Omocestus rufipes (Zetterstedt, 1821)"	"000464553724"	
"Omocestus ventralis (Zetterstedt, 1821)"	"isSynonymOf"	"Scientific"	"Omocestus rufipes (Zetterstedt, 1821)"	"000464553724"	
"Zwart wekkertje"	"isPreferredNameOf"	"Dutch"	"Omocestus rufipes (Zetterstedt, 1821)"	"000464553724"	
"Wekkertje"	"isPreferredNameOf"	"Dutch"	"Omocestus viridulus (Linnaeus, 1758)"	"000464553731"	
"Grondloopkever"	"isAlternativeNameOf"	"Dutch"	"Omophron limbatum (Fabricius, 1777)"	"0AHCYFBRJYEP"	
"Kogelloopkever"	"isAlternativeNameOf"	"Dutch"	"Omophron limbatum (Fabricius, 1777)"	"0AHCYFBRJYEP"	
"Kogelloper"	"isPreferredNameOf"	"Dutch"	"Omophron limbatum (Fabricius, 1777)"	"0AHCYFBRJYEP"	
"Kadaverglanskever"	"isPreferredNameOf"	"Dutch"	"Omosita discoidea (Fabricius, 1775)"	"0AHCYFBVRIIE"	
"Slanke poelslak"	"isPreferredNameOf"	"Dutch"	"Omphiscola glabra (Müller, 1774)"	"000486765420"	
"Rosse sterslak"	"isPreferredNameOf"	"Dutch"	"Onchidoris bilamellata (Linnaeus, 1767)"	"0AHCYSI11099"	
"Wrattige sterslak"	"isPreferredNameOf"	"Dutch"	"Onchidoris muricata (Müller, 1776)"	"0AHCYSI11100"	
"Prachtmot"	"isPreferredNameOf"	"Dutch"	"Oncocera semirubella (Scopoli, 1763)"	"0AHCYFCMPWTJ"	
"Oncodelphax pullulus"	"isMisspelledNameOf"	"Scientific"	"Oncodelphax pullula (Boheman, 1852)"	"0AHCYFAPWGOY"	
"Cohozalm"	"isPreferredNameOf"	"Dutch"	"Oncorhynchus kisutch (Walbaum, 1792)"	"0AHCYFCHHLQB"	
"Regenboogforel"	"isPreferredNameOf"	"Dutch"	"Oncorhynchus mykiss (Walbaum, 1792)"	"000455864372"	
"Salmo gairdneri Richardson, 1836"	"isSynonymOf"	"Scientific"	"Oncorhynchus mykiss (Walbaum, 1792)"	"000455864372"	
"Chinook"	"isPreferredNameOf"	"Dutch"	"Oncorhynchus tschawytscha (Walbaum, 1792)"	"0AHCYFCHHOAK"	
"Bisamrat"	"isAlternativeNameOf"	"Dutch"	"Ondatra zibethicus (Linnaeus, 1766)"	"0AHCYFCTHVLS"	
"Muskusrat"	"isPreferredNameOf"	"Dutch"	"Ondatra zibethicus (Linnaeus, 1766)"	"0AHCYFCTHVLS"	
"Laelaps multispinosa Banks, 1909"	"isSynonymOf"	"Scientific"	"Ondatralaelaps multispinosa (Banks, 1909)"	"087H9DFKOVFT"	"soort"	
"Stomp groeftandhorentje"	"isPreferredNameOf"	"Dutch"	"Ondina divisa (Adams, 1797)"	"0RS619LK47V2"	
"Onesia sepulchralis (Meigen, 1826)"	"isSynonymOf"	"Scientific"	"Onesia floralis Robineau-Desvoidy, 1830"	"0AHCYFBCXWDE"	
"Onesia sepulcralis (Meigen, 1826)"	"isSynonymOf"	"Scientific"	"Onesia floralis Robineau-Desvoidy, 1830"	"0AHCYFBCXWDE"	
"Kelderpissebed"	"isPreferredNameOf"	"Dutch"	"Oniscus asellus Linnaeus, 1758"	"0AHCYFAOWKUU"	
